"jahr","gemnr","au_zu","au_weg"
"2002","10101",92,127
"2002","10201",8,16
"2002","10301",11,10
"2002","10302",14,13
"2002","10303",12,11
"2002","10304",30,25
"2002","10305",10,6
"2002","10306",3,2
"2002","10307",12,14
"2002","10308",9,9
"2002","10309",15,13
"2002","10310",2,1
"2002","10311",10,6
"2002","10312",19,25
"2002","10313",13,28
"2002","10314",14,6
"2002","10315",26,14
"2002","10316",10,10
"2002","10317",30,14
"2002","10318",16,2
"2002","10319",11,8
"2002","10320",3,2
"2002","10321",3,5
"2002","10322",4,3
"2002","10323",2,1
"2002","10401",0,3
"2002","10402",8,4
"2002","10403",7,6
"2002","10404",6,1
"2002","10405",47,19
"2002","10406",2,10
"2002","10407",8,4
"2002","10408",6,22
"2002","10409",1,0
"2002","10410",1,5
"2002","10411",3,11
"2002","10412",8,3
"2002","10413",2,0
"2002","10414",6,9
"2002","10415",81,27
"2002","10416",4,1
"2002","10417",7,3
"2002","10418",0,6
"2002","10419",2,3
"2002","10420",1,3
"2002","10421",0,2
"2002","10422",NA,NA
"2002","10423",1,0
"2002","10424",0,1
"2002","10425",NA,NA
"2002","10426",1,1
"2002","10427",4,3
"2002","10428",0,3
"2002","10501",9,5
"2002","10502",8,11
"2002","10503",8,5
"2002","10504",23,19
"2002","10505",1,2
"2002","10506",2,3
"2002","10507",2,2
"2002","10508",7,4
"2002","10509",11,9
"2002","10510",3,8
"2002","10511",2,3
"2002","10512",4,5
"2002","10601",2,4
"2002","10602",94,34
"2002","10603",2,5
"2002","10604",10,6
"2002","10605",7,12
"2002","10606",46,36
"2002","10607",60,32
"2002","10608",3,3
"2002","10609",10,7
"2002","10610",16,11
"2002","10611",20,14
"2002","10612",9,10
"2002","10613",11,6
"2002","10614",7,3
"2002","10615",12,5
"2002","10616",3,7
"2002","10617",6,8
"2002","10618",23,31
"2002","10619",1,3
"2002","10701",7,1
"2002","10702",3,0
"2002","10703",25,8
"2002","10704",4,5
"2002","10705",18,5
"2002","10706",12,8
"2002","10707",22,12
"2002","10708",4,1
"2002","10709",6,10
"2002","10710",3,2
"2002","10711",8,8
"2002","10712",12,6
"2002","10713",66,54
"2002","10714",14,8
"2002","10715",12,7
"2002","10716",5,3
"2002","10717",35,15
"2002","10718",14,10
"2002","10719",3,1
"2002","10720",5,1
"2002","10721",25,20
"2002","10722",8,3
"2002","10723",5,4
"2002","10724",13,36
"2002","10725",14,7
"2002","10726",2,2
"2002","10727",2,0
"2002","10801",7,4
"2002","10802",10,7
"2002","10803",6,5
"2002","10804",15,10
"2002","10805",114,24
"2002","10806",1,1
"2002","10807",12,6
"2002","10808",4,5
"2002","10809",4,6
"2002","10810",7,7
"2002","10811",3,9
"2002","10812",4,5
"2002","10813",4,10
"2002","10814",4,5
"2002","10815",0,5
"2002","10816",30,13
"2002","10817",2,2
"2002","10818",1,0
"2002","10819",3,3
"2002","10820",2,0
"2002","10821",7,8
"2002","10822",14,8
"2002","10823",6,8
"2002","10824",3,1
"2002","10825",49,25
"2002","10826",2,0
"2002","10827",1,2
"2002","10828",0,4
"2002","10901",10,12
"2002","10902",5,10
"2002","10903",5,1
"2002","10904",9,1
"2002","10905",11,13
"2002","10906",6,3
"2002","10907",12,11
"2002","10908",9,4
"2002","10909",28,6
"2002","10910",8,4
"2002","10911",NA,NA
"2002","10912",12,6
"2002","10913",4,5
"2002","10914",3,1
"2002","10915",5,1
"2002","10916",15,4
"2002","10917",53,41
"2002","10918",26,31
"2002","10919",34,12
"2002","10920",4,4
"2002","10921",8,4
"2002","10922",11,9
"2002","10923",7,5
"2002","10924",2,0
"2002","10925",7,2
"2002","10926",3,1
"2002","10927",5,0
"2002","10928",4,2
"2002","10929",3,5
"2002","10930",0,4
"2002","10931",0,1
"2002","10932",2,0
"2002","20101",947,758
"2002","20201",421,415
"2002","20302",0,7
"2002","20305",21,30
"2002","20306",12,9
"2002","20307",9,7
"2002","20316",13,8
"2002","20320",8,3
"2002","20321",0,7
"2002","20402",48,25
"2002","20403",13,19
"2002","20405",46,35
"2002","20409",13,12
"2002","20412",7,18
"2002","20414",7,6
"2002","20415",22,15
"2002","20416",12,9
"2002","20417",28,12
"2002","20418",14,11
"2002","20419",16,16
"2002","20421",61,32
"2002","20424",25,38
"2002","20425",14,11
"2002","20428",7,2
"2002","20432",26,21
"2002","20435",20,20
"2002","20441",2,2
"2002","20442",15,19
"2002","20501",47,20
"2002","20502",10,27
"2002","20503",2,1
"2002","20504",14,11
"2002","20505",24,14
"2002","20506",11,3
"2002","20508",6,7
"2002","20509",4,6
"2002","20511",4,15
"2002","20512",12,20
"2002","20513",5,6
"2002","20515",14,22
"2002","20518",84,25
"2002","20519",2,11
"2002","20520",4,7
"2002","20523",22,15
"2002","20527",54,67
"2002","20530",13,31
"2002","20531",7,10
"2002","20534",24,30
"2002","20601",26,23
"2002","20602",4,3
"2002","20603",6,5
"2002","20604",9,5
"2002","20605",2,12
"2002","20607",7,7
"2002","20608",14,7
"2002","20609",8,10
"2002","20610",5,7
"2002","20611",2,8
"2002","20613",3,2
"2002","20616",5,6
"2002","20618",4,12
"2002","20619",9,12
"2002","20620",42,36
"2002","20622",3,3
"2002","20624",7,4
"2002","20625",6,5
"2002","20627",17,30
"2002","20630",134,60
"2002","20631",3,7
"2002","20632",9,13
"2002","20633",18,10
"2002","20634",33,27
"2002","20635",95,79
"2002","20636",8,9
"2002","20637",14,13
"2002","20638",1,1
"2002","20639",5,6
"2002","20640",12,5
"2002","20642",7,9
"2002","20643",7,19
"2002","20644",7,19
"2002","20701",3,3
"2002","20702",51,42
"2002","20703",8,5
"2002","20705",15,24
"2002","20707",2,1
"2002","20708",43,21
"2002","20710",6,11
"2002","20711",42,38
"2002","20712",1,5
"2002","20713",8,3
"2002","20719",4,4
"2002","20720",21,17
"2002","20721",15,14
"2002","20722",15,19
"2002","20723",9,5
"2002","20724",30,33
"2002","20725",66,82
"2002","20726",9,10
"2002","20727",20,29
"2002","20801",20,13
"2002","20802",1,2
"2002","20803",66,23
"2002","20804",8,8
"2002","20805",7,4
"2002","20806",10,7
"2002","20807",4,5
"2002","20808",17,34
"2002","20810",5,15
"2002","20812",5,6
"2002","20813",187,40
"2002","20815",7,9
"2002","20817",29,49
"2002","20901",7,33
"2002","20905",12,7
"2002","20909",4,27
"2002","20911",8,4
"2002","20912",3,4
"2002","20913",43,60
"2002","20914",2,5
"2002","20918",6,10
"2002","20923",88,77
"2002","21001",7,6
"2002","21002",84,101
"2002","21003",15,37
"2002","21004",11,12
"2002","21005",16,17
"2002","21006",10,3
"2002","21007",17,9
"2002","21008",38,19
"2002","21009",31,21
"2002","21010",3,11
"2002","30101",380,180
"2002","30201",645,375
"2002","30301",105,48
"2002","30401",411,381
"2002","30501",8,3
"2002","30502",192,136
"2002","30503",7,4
"2002","30504",21,11
"2002","30506",13,18
"2002","30507",4,3
"2002","30508",11,7
"2002","30509",3,10
"2002","30510",0,5
"2002","30511",6,6
"2002","30512",2,1
"2002","30514",17,14
"2002","30515",5,10
"2002","30516",10,9
"2002","30517",10,18
"2002","30520",10,4
"2002","30521",2,4
"2002","30522",3,1
"2002","30524",2,2
"2002","30526",2,0
"2002","30527",13,17
"2002","30529",6,4
"2002","30530",26,13
"2002","30531",62,59
"2002","30532",15,11
"2002","30533",35,24
"2002","30534",6,9
"2002","30536",7,2
"2002","30538",10,5
"2002","30539",5,1
"2002","30541",3,1
"2002","30542",8,3
"2002","30543",11,15
"2002","30544",3,10
"2002","30601",20,24
"2002","30602",121,30
"2002","30603",124,68
"2002","30604",340,228
"2002","30605",76,35
"2002","30607",179,99
"2002","30608",25,18
"2002","30609",1,1
"2002","30612",17,4
"2002","30613",25,19
"2002","30614",9,12
"2002","30615",39,57
"2002","30616",13,6
"2002","30618",65,25
"2002","30620",49,17
"2002","30621",29,8
"2002","30623",37,27
"2002","30625",43,21
"2002","30626",53,47
"2002","30627",27,9
"2002","30629",17,8
"2002","30631",10,3
"2002","30633",9,8
"2002","30635",13,9
