"jahr";"gemnr";"yearmean_pop"
2002;"70101";112869
2002;"70201";2799,5
2002;"70202";3911,125
2002;"70203";8830,875
2002;"70204";735,625
2002;"70205";915,875
2002;"70206";582,25
2002;"70207";693,875
2002;"70208";4115,125
2002;"70209";2945,5
2002;"70210";544,875
2002;"70211";1179,375
2002;"70212";2035,375
2002;"70213";995,25
2002;"70214";2215,125
2002;"70215";2004
2002;"70216";1593,125
2002;"70217";1509,5
2002;"70218";1306,875
2002;"70219";2404,125
2002;"70220";3358,25
2002;"70221";1262,5
2002;"70222";2540,125
2002;"70223";2858,875
2002;"70224";1991
2002;"70301";6414,875
2002;"70302";1943,875
2002;"70303";1323,125
2002;"70304";5316
2002;"70305";1089
2002;"70306";1193,75
2002;"70307";1071
2002;"70308";1131,625
2002;"70309";2020
2002;"70310";3914,125
2002;"70311";643,875
2002;"70312";3598
2002;"70313";1249,5
2002;"70314";576,125
2002;"70315";1299,875
2002;"70317";450,75
2002;"70318";1027,75
2002;"70319";3233
2002;"70320";2575,875
2002;"70322";1418,625
2002;"70323";728,375
2002;"70325";892,875
2002;"70326";2032,875
2002;"70328";1591
2002;"70329";3819,125
2002;"70331";1948,375
2002;"70332";1858,5
2002;"70333";1910,75
2002;"70334";4417,25
2002;"70335";1604
2002;"70336";357,125
2002;"70337";2743,125
2002;"70338";872,5
2002;"70339";956,25
2002;"70340";1130,25
2002;"70342";771,5
2002;"70343";853,5
2002;"70344";1120,875
2002;"70345";1409,5
2002;"70346";8371,375
2002;"70347";194,375
2002;"70348";1266,125
2002;"70349";889,625
2002;"70350";1002,375
2002;"70351";3118,25
2002;"70352";1360,25
2002;"70353";1774,75
2002;"70354";11567,25
2002;"70355";3297,875
2002;"70356";1359,25
2002;"70357";12991,125
2002;"70358";3482,125
2002;"70359";1193,375
2002;"70360";1356,625
2002;"70361";191,75
2002;"70362";510,875
2002;"70364";6661,625
2002;"70365";4129
2002;"70366";719,625
2002;"70367";7319,875
2002;"70368";769,875
2002;"70369";6287,25
2002;"70401";1216
2002;"70402";2567,25
2002;"70403";4249
2002;"70404";1756,375
2002;"70405";1095,875
2002;"70406";5272,875
2002;"70407";1060,25
2002;"70408";1522,125
2002;"70409";5007,5
2002;"70410";3505,125
2002;"70411";8514,5
2002;"70412";4002,125
2002;"70413";1936,375
2002;"70414";1628,375
2002;"70415";624,625
2002;"70416";7995,5
2002;"70417";1448,75
2002;"70418";745,375
2002;"70419";1818,375
2002;"70420";3457,375
2002;"70501";2513
2002;"70502";893,875
2002;"70503";2300,625
2002;"70504";1529,875
2002;"70505";3163
2002;"70506";2767
2002;"70508";4959
2002;"70509";2557,25
2002;"70510";1403,875
2002;"70511";5152,25
2002;"70512";4401,25
