"";"jahr";"gemnr";"n";"anz"
"1";2002;"Innsbruck <70101>";"112869";112869
"2";2002;"Arzl im Pitztal <70201>";"2799,5";2799,5
"3";2002;"Haiming <70202>";"3911,125";3911,125
"4";2002;"Imst <70203>";"8830,875";8830,875
"5";2002;"Imsterberg <70204>";"735,625";735,625
"6";2002;"Jerzens <70205>";"915,875";915,875
"7";2002;"Karres <70206>";"582,25";582,25
"8";2002;"Karrösten <70207>";"693,875";693,875
"9";2002;"Längenfeld <70208>";"4115,125";4115,125
"10";2002;"Mieming <70209>";"2945,5";2945,5
"11";2002;"Mils bei Imst <70210>";"544,875";544,875
"12";2002;"Mötz <70211>";"1179,375";1179,375
"13";2002;"Nassereith <70212>";"2035,375";2035,375
"14";2002;"Obsteig <70213>";"995,25";995,25
"15";2002;"Oetz <70214>";"2215,125";2215,125
"16";2002;"Rietz <70215>";"2004";2004
"17";2002;"Roppen <70216>";"1593,125";1593,125
"18";2002;"St. Leonhard im Pitztal <70217>";"1509,5";1509,5
"19";2002;"Sautens <70218>";"1306,875";1306,875
"20";2002;"Silz <70219>";"2404,125";2404,125
"21";2002;"Sölden <70220>";"3358,25";3358,25
"22";2002;"Stams <70221>";"1262,5";1262,5
"23";2002;"Tarrenz <70222>";"2540,125";2540,125
"24";2002;"Umhausen <70223>";"2858,875";2858,875
"25";2002;"Wenns <70224>";"1991";1991
"26";2002;"Absam <70301>";"6414,875";6414,875
"27";2002;"Aldrans <70302>";"1943,875";1943,875
"28";2002;"Ampass <70303>";"1323,125";1323,125
"29";2002;"Axams <70304>";"5316";5316
"30";2002;"Baumkirchen <70305>";"1089";1089
"31";2002;"Birgitz <70306>";"1193,75";1193,75
"32";2002;"Ellbögen <70307>";"1071";1071
"33";2002;"Flaurling <70308>";"1131,625";1131,625
"34";2002;"Fritzens <70309>";"2020";2020
"35";2002;"Fulpmes <70310>";"3914,125";3914,125
"36";2002;"Gnadenwald <70311>";"643,875";643,875
"37";2002;"Götzens <70312>";"3598";3598
"38";2002;"Gries am Brenner <70313>";"1249,5";1249,5
"39";2002;"Gries im Sellrain <70314>";"576,125";576,125
"40";2002;"Grinzens <70315>";"1299,875";1299,875
"41";2002;"Gschnitz <70317>";"450,75";450,75
"42";2002;"Hatting <70318>";"1027,75";1027,75
"43";2002;"Inzing <70319>";"3233";3233
"44";2002;"Kematen in Tirol <70320>";"2575,875";2575,875
"45";2002;"Kolsass <70322>";"1418,625";1418,625
"46";2002;"Kolsassberg <70323>";"728,375";728,375
"47";2002;"Kreith ^<70324>";"-";NA
"48";2002;"Lans <70325>";"892,875";892,875
"49";2002;"Leutasch <70326>";"2032,875";2032,875
"50";2002;"Matrei am Brenner <70370>";"-";NA
"51";2002;"Matrei am Brenner ^<70327>";"990,375";990,375
"52";2002;"Mieders <70328>";"1591";1591
"53";2002;"Mils <70329>";"3819,125";3819,125
"54";2002;"Mühlbachl ^<70330>";"1394,875";1394,875
"55";2002;"Mutters <70331>";"1948,375";1948,375
"56";2002;"Natters <70332>";"1858,5";1858,5
"57";2002;"Navis <70333>";"1910,75";1910,75
"58";2002;"Neustift im Stubaital <70334>";"4417,25";4417,25
"59";2002;"Oberhofen im Inntal <70335>";"1604";1604
"60";2002;"Obernberg am Brenner <70336>";"357,125";357,125
"61";2002;"Oberperfuss <70337>";"2743,125";2743,125
"62";2002;"Patsch <70338>";"872,5";872,5
"63";2002;"Pettnau <70339>";"956,25";956,25
"64";2002;"Pfaffenhofen <70340>";"1130,25";1130,25
"65";2002;"Pfons ^<70341>";"1236,25";1236,25
"66";2002;"Polling in Tirol <70342>";"771,5";771,5
"67";2002;"Ranggen <70343>";"853,5";853,5
"68";2002;"Reith bei Seefeld <70344>";"1120,875";1120,875
"69";2002;"Rinn <70345>";"1409,5";1409,5
"70";2002;"Rum <70346>";"8371,375";8371,375
"71";2002;"St. Sigmund im Sellrain <70347>";"194,375";194,375
"72";2002;"Scharnitz <70348>";"1266,125";1266,125
"73";2002;"Schmirn <70349>";"889,625";889,625
"74";2002;"Schönberg im Stubaital <70350>";"1002,375";1002,375
