"jahr","gemnr","pop"
"2002","10101",11644
"2003","10101",11699
"2004","10101",11799
"2005","10101",12045
"2006","10101",12171
"2007","10101",12350
"2008","10101",12549
"2009","10101",12717
"2010","10101",12816
"2011","10101",12950
"2012","10101",13112
"2013","10101",13351
"2014","10101",13485
"2015","10101",13664
"2016","10101",14226
"2017","10101",14339
"2018","10101",14476
"2019","10101",14637
"2020","10101",14816
"2021","10101",14895
"2022","10101",15240
"2023","10101",15729
"2024","10101",16037
"2025","10101",16118
"2002","10201",1730
"2003","10201",1730
"2004","10201",1761
"2005","10201",1797
"2006","10201",1803
"2007","10201",1815
"2008","10201",1814
"2009","10201",1873
"2010","10201",1875
"2011","10201",1888
"2012","10201",1887
"2013","10201",1918
"2014","10201",1942
"2015","10201",1929
"2016","10201",1911
"2017","10201",1900
"2018","10201",1921
"2019","10201",1940
"2020","10201",1980
"2021","10201",2000
"2022","10201",1984
"2023","10201",1964
"2024","10201",1984
"2025","10201",1933
"2002","10301",1722
"2003","10301",1726
"2004","10301",1746
"2005","10301",1758
"2006","10301",1766
"2007","10301",1784
"2008","10301",1816
"2009","10301",1849
"2010","10301",1885
"2011","10301",1891
"2012","10301",1906
"2013","10301",1908
"2014","10301",1918
"2015","10301",1910
"2016","10301",1913
"2017","10301",1938
"2018","10301",1938
"2019","10301",1910
"2020","10301",1871
"2021","10301",1883
"2022","10301",1890
"2023","10301",1932
"2024","10301",1909
"2025","10301",1943
"2002","10302",1639
"2003","10302",1649
"2004","10302",1661
"2005","10302",1697
"2006","10302",1702
"2007","10302",1718
"2008","10302",1717
"2009","10302",1729
"2010","10302",1715
"2011","10302",1719
"2012","10302",1743
"2013","10302",1732
"2014","10302",1733
"2015","10302",1739
"2016","10302",1746
"2017","10302",1800
"2018","10302",1810
"2019","10302",1822
"2020","10302",1843
"2021","10302",1841
"2022","10302",1846
"2023","10302",1844
"2024","10302",1881
"2025","10302",1881
"2002","10303",1808
"2003","10303",1815
"2004","10303",1804
"2005","10303",1818
"2006","10303",1847
"2007","10303",1823
"2008","10303",1845
"2009","10303",1857
"2010","10303",1888
"2011","10303",1910
"2012","10303",1939
"2013","10303",1998
"2014","10303",2032
"2015","10303",2048
"2016","10303",2067
"2017","10303",2082
"2018","10303",2048
"2019","10303",2080
"2020","10303",2104
"2021","10303",2122
"2022","10303",2122
"2023","10303",2091
"2024","10303",2091
"2025","10303",2078
"2002","10304",2635
"2003","10304",2645
"2004","10304",2616
"2005","10304",2624
"2006","10304",2609
"2007","10304",2609
"2008","10304",2678
"2009","10304",2738
"2010","10304",2724
"2011","10304",2762
"2012","10304",2765
"2013","10304",2788
"2014","10304",2801
"2015","10304",2859
"2016","10304",2914
"2017","10304",2964
"2018","10304",3012
"2019","10304",3091
"2020","10304",3129
"2021","10304",3176
"2022","10304",3217
"2023","10304",3270
"2024","10304",3312
"2025","10304",3323
"2002","10305",1175
"2003","10305",1181
"2004","10305",1180
"2005","10305",1170
"2006","10305",1170
"2007","10305",1160
"2008","10305",1139
"2009","10305",1178
"2010","10305",1173
"2011","10305",1189
"2012","10305",1166
"2013","10305",1172
"2014","10305",1180
"2015","10305",1177
"2016","10305",1246
"2017","10305",1223
"2018","10305",1172
"2019","10305",1153
"2020","10305",1147
"2021","10305",1223
"2022","10305",1255
"2023","10305",1280
"2024","10305",1260
"2025","10305",1203
"2002","10306",1174
"2003","10306",1182
"2004","10306",1175
"2005","10306",1172
"2006","10306",1165
"2007","10306",1157
"2008","10306",1155
"2009","10306",1156
"2010","10306",1157
"2011","10306",1155
"2012","10306",1158
"2013","10306",1169
"2014","10306",1173
"2015","10306",1173
"2016","10306",1187
"2017","10306",1174
"2018","10306",1193
"2019","10306",1198
"2020","10306",1208
"2021","10306",1217
"2022","10306",1212
"2023","10306",1217
"2024","10306",1242
"2025","10306",1258
"2002","10307",2313
"2003","10307",2314
"2004","10307",2315
"2005","10307",2331
"2006","10307",2338
"2007","10307",2355
"2008","10307",2384
"2009","10307",2364
"2010","10307",2354
"2011","10307",2322
"2012","10307",2318
"2013","10307",2288
"2014","10307",2280
"2015","10307",2261
"2016","10307",2272
"2017","10307",2251
"2018","10307",2261
"2019","10307",2244
"2020","10307",2203
"2021","10307",2228
"2022","10307",2192
"2023","10307",2218
"2024","10307",2213
"2025","10307",2181
"2002","10308",1241
"2003","10308",1253
"2004","10308",1266
"2005","10308",1274
"2006","10308",1317
"2007","10308",1309
"2008","10308",1291
"2009","10308",1308
"2010","10308",1326
"2011","10308",1354
"2012","10308",1327
"2013","10308",1353
"2014","10308",1353
"2015","10308",1375
"2016","10308",1388
"2017","10308",1404
"2018","10308",1397
"2019","10308",1394
"2020","10308",1383
"2021","10308",1384
"2022","10308",1400
"2023","10308",1469
"2024","10308",1466
"2025","10308",1521
"2002","10309",2965
"2003","10309",2965
"2004","10309",2988
"2005","10309",3035
"2006","10309",3077
"2007","10309",3065
"2008","10309",3145
"2009","10309",3159
"2010","10309",3155
"2011","10309",3107
"2012","10309",3185
"2013","10309",3180
"2014","10309",3196
"2015","10309",3253
"2016","10309",3234
"2017","10309",3339
"2018","10309",3418
"2019","10309",3451
"2020","10309",3486
"2021","10309",3587
"2022","10309",3640
