"jahr","gemnr","gemname","geschl","alter","n","typ"
2025,"70101","Innsbruck ","männlich","bis 4 Jahre",2655,"Städte"
2025,"70101","Innsbruck ","männlich","5 bis 9 Jahre",2708,"Städte"
2025,"70101","Innsbruck ","männlich","10 bis 14 Jahre",2577,"Städte"
2025,"70101","Innsbruck ","männlich","15 bis 19 Jahre",2845,"Städte"
2025,"70101","Innsbruck ","männlich","20 bis 24 Jahre",4910,"Städte"
2025,"70101","Innsbruck ","männlich","25 bis 29 Jahre",7110,"Städte"
2025,"70101","Innsbruck ","männlich","30 bis 34 Jahre",6591,"Städte"
2025,"70101","Innsbruck ","männlich","35 bis 39 Jahre",5302,"Städte"
2025,"70101","Innsbruck ","männlich","40 bis 44 Jahre",4252,"Städte"
2025,"70101","Innsbruck ","weiblich","bis 4 Jahre",2550,"Städte"
2025,"70101","Innsbruck ","weiblich","5 bis 9 Jahre",2538,"Städte"
2025,"70101","Innsbruck ","weiblich","10 bis 14 Jahre",2373,"Städte"
2025,"70101","Innsbruck ","weiblich","15 bis 19 Jahre",2741,"Städte"
2025,"70101","Innsbruck ","weiblich","20 bis 24 Jahre",4639,"Städte"
2025,"70101","Innsbruck ","weiblich","25 bis 29 Jahre",6536,"Städte"
2025,"70101","Innsbruck ","weiblich","30 bis 34 Jahre",5644,"Städte"
2025,"70101","Innsbruck ","weiblich","35 bis 39 Jahre",4620,"Städte"
2025,"70101","Innsbruck ","weiblich","40 bis 44 Jahre",4104,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","bis 4 Jahre",69,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","5 bis 9 Jahre",110,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","10 bis 14 Jahre",68,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","15 bis 19 Jahre",95,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","20 bis 24 Jahre",89,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","25 bis 29 Jahre",85,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","30 bis 34 Jahre",101,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","35 bis 39 Jahre",103,"Städte"
2025,"70201","Arzl im Pitztal ","männlich","40 bis 44 Jahre",98,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","bis 4 Jahre",84,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","5 bis 9 Jahre",83,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","10 bis 14 Jahre",77,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","15 bis 19 Jahre",76,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","20 bis 24 Jahre",66,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","25 bis 29 Jahre",71,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","30 bis 34 Jahre",109,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","35 bis 39 Jahre",117,"Städte"
2025,"70201","Arzl im Pitztal ","weiblich","40 bis 44 Jahre",109,"Städte"
2025,"70202","Haiming ","männlich","bis 4 Jahre",118,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","5 bis 9 Jahre",122,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","10 bis 14 Jahre",148,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","15 bis 19 Jahre",150,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","20 bis 24 Jahre",143,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","25 bis 29 Jahre",179,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","30 bis 34 Jahre",159,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","35 bis 39 Jahre",155,"Ländlicher Raum"
2025,"70202","Haiming ","männlich","40 bis 44 Jahre",174,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","bis 4 Jahre",121,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","5 bis 9 Jahre",130,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","10 bis 14 Jahre",121,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","15 bis 19 Jahre",116,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","20 bis 24 Jahre",128,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","25 bis 29 Jahre",142,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","30 bis 34 Jahre",161,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","35 bis 39 Jahre",149,"Ländlicher Raum"
2025,"70202","Haiming ","weiblich","40 bis 44 Jahre",172,"Ländlicher Raum"
2025,"70203","Imst ","männlich","bis 4 Jahre",267,"Städte"
2025,"70203","Imst ","männlich","5 bis 9 Jahre",294,"Städte"
2025,"70203","Imst ","männlich","10 bis 14 Jahre",288,"Städte"
2025,"70203","Imst ","männlich","15 bis 19 Jahre",313,"Städte"
2025,"70203","Imst ","männlich","20 bis 24 Jahre",368,"Städte"
2025,"70203","Imst ","männlich","25 bis 29 Jahre",363,"Städte"
2025,"70203","Imst ","männlich","30 bis 34 Jahre",366,"Städte"
2025,"70203","Imst ","männlich","35 bis 39 Jahre",396,"Städte"
2025,"70203","Imst ","männlich","40 bis 44 Jahre",411,"Städte"
2025,"70203","Imst ","weiblich","bis 4 Jahre",272,"Städte"
2025,"70203","Imst ","weiblich","5 bis 9 Jahre",270,"Städte"
2025,"70203","Imst ","weiblich","10 bis 14 Jahre",302,"Städte"
2025,"70203","Imst ","weiblich","15 bis 19 Jahre",286,"Städte"
2025,"70203","Imst ","weiblich","20 bis 24 Jahre",286,"Städte"
