"jahr","gemnr","pop","bi_zu","bi_weg","au_zu","au_weg","bi_saldo","au_saldo","bld"
2002,10101,11644,527,420,92,127,107,-35,"1"
2003,10101,11699,475,403,145,101,72,44,"1"
2004,10101,11799,652,446,141,122,206,19,"1"
2005,10101,12045,586,492,134,81,94,53,"1"
2006,10101,12171,677,485,116,123,192,-7,"1"
2007,10101,12350,731,578,224,163,153,61,"1"
2008,10101,12549,752,571,259,260,181,-1,"1"
2009,10101,12717,681,611,282,226,70,56,"1"
2010,10101,12816,681,606,288,208,75,80,"1"
2011,10101,12950,714,610,313,245,104,68,"1"
2012,10101,13112,838,695,366,263,143,103,"1"
2013,10101,13351,795,771,350,235,24,115,"1"
2014,10101,13485,797,846,429,181,-49,248,"1"
2015,10101,13664,925,1127,982,173,-202,809,"1"
2016,10101,14226,885,861,375,289,24,86,"1"
2017,10101,14339,945,815,302,246,130,56,"1"
2018,10101,14476,1090,965,322,282,125,40,"1"
2019,10101,14637,1059,908,370,325,151,45,"1"
2020,10101,14816,1013,959,311,254,54,57,"1"
2021,10101,14895,1108,858,372,242,250,130,"1"
2022,10101,15240,1217,1084,694,279,133,415,"1"
2023,10101,15729,1185,1143,616,300,42,316,"1"
2002,10201,1730,42,32,8,16,10,-8,"1"
2003,10201,1730,61,36,22,14,25,8,"1"
2004,10201,1761,60,46,37,8,14,29,"1"
2005,10201,1797,44,41,11,12,3,-1,"1"
2006,10201,1803,55,44,22,14,11,8,"1"
2007,10201,1815,48,46,12,13,2,-1,"1"
2008,10201,1814,118,64,17,10,54,7,"1"
2009,10201,1873,65,47,18,18,18,0,"1"
2010,10201,1875,63,36,20,14,27,6,"1"
2011,10201,1888,64,53,7,16,11,-9,"1"
2012,10201,1887,67,36,15,9,31,6,"1"
2013,10201,1918,88,56,20,4,32,16,"1"
2014,10201,1942,57,61,9,9,-4,0,"1"
2015,10201,1929,78,70,14,8,8,6,"1"
2016,10201,1911,75,61,10,9,14,1,"1"
2017,10201,1900,81,44,10,9,37,1,"1"
2018,10201,1921,95,54,6,4,41,2,"1"
2019,10201,1940,109,61,22,1,48,21,"1"
2020,10201,1980,92,55,9,6,37,3,"1"
2021,10201,2000,103,72,4,8,31,-4,"1"
2022,10201,1984,102,94,37,23,8,14,"1"
2023,10201,1964,103,56,11,4,47,7,"1"
2002,10301,1722,47,42,11,10,5,1,"1"
2003,10301,1726,54,41,10,6,13,4,"1"
2004,10301,1746,59,46,8,10,13,-2,"1"
2005,10301,1758,91,82,16,16,9,0,"1"
2006,10301,1766,66,42,24,12,24,12,"1"
2007,10301,1784,88,62,19,19,26,0,"1"
2008,10301,1816,98,68,14,3,30,11,"1"
2009,10301,1849,92,56,13,4,36,9,"1"
2010,10301,1885,81,69,5,9,12,-4,"1"
2011,10301,1891,87,69,12,12,18,0,"1"
2012,10301,1906,84,73,10,8,11,2,"1"
2013,10301,1908,85,84,14,8,1,6,"1"
2014,10301,1918,77,77,9,7,0,2,"1"
2015,10301,1910,68,71,16,2,-3,14,"1"
2016,10301,1913,121,91,12,15,30,-3,"1"
2017,10301,1938,78,75,11,8,3,3,"1"
2018,10301,1938,73,102,10,7,-29,3,"1"
2019,10301,1910,69,101,10,12,-32,-2,"1"
2020,10301,1871,105,86,18,12,19,6,"1"
2021,10301,1883,78,72,9,4,6,5,"1"
2022,10301,1890,105,67,27,16,38,11,"1"
2023,10301,1932,64,75,12,13,-11,-1,"1"
2002,10302,1639,45,36,14,13,9,1,"1"
2003,10302,1649,50,37,19,12,13,7,"1"
2004,10302,1661,70,44,21,12,26,9,"1"
2005,10302,1697,60,60,18,8,0,10,"1"
2006,10302,1702,68,50,16,15,18,1,"1"
2007,10302,1718,74,60,12,11,14,1,"1"
2008,10302,1717,76,66,9,6,10,3,"1"
2009,10302,1729,56,63,5,6,-7,-1,"1"
2010,10302,1715,48,44,5,9,4,-4,"1"
2011,10302,1719,75,43,9,6,32,3,"1"
2012,10302,1743,62,65,9,9,-3,0,"1"
2013,10302,1732,75,68,10,6,7,4,"1"
2014,10302,1733,70,64,11,4,6,7,"1"
2015,10302,1739,72,62,12,8,10,4,"1"
2016,10302,1746,113,60,9,3,53,6,"1"
2017,10302,1800,83,70,5,5,13,0,"1"
