C-A10-0;C-C11-0;C-GRGEMAKT-0;C-GALTEJ112-0;F-ISIS-1
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-1;61
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-2;65
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-3;69
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-4;75
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-5;79
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-6;84
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-7;90
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-8;67
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-9;71
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-10;83
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-11;81
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-12;75
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-13;92
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-14;85
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-15;89
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-16;77
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-17;68
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-18;63
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-19;75
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-20;77
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-21;93
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-22;79
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-23;84
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-24;102
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-25;117
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-26;95
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-27;73
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-28;99
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-29;107
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-30;108
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-31;94
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-32;113
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-33;113
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-34;120
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-35;122
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-36;112
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-37;111
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-38;104
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-39;121
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-40;104
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-41;107
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-42;125
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-43;97
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-44;108
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-45;102
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-46;96
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-47;100
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-48;84
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-49;90
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-50;96
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-51;119
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-52;111
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-53;101
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-54;110
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-55;126
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-56;111
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-57;106
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-58;126
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-59;94
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-60;112
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-61;106
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-62;86
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-63;121
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-64;103
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-65;99
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-66;93
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-67;92
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-68;88
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-69;72
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-70;88
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-71;65
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-72;81
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-73;54
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-74;62
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-75;73
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-76;66
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-77;45
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-78;26
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-79;45
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-80;39
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-81;55
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-82;44
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-83;42
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-84;61
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-85;32
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-86;18
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-87;23
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-88;23
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-89;23
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-90;16
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-91;17
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-92;5
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-93;8
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-94;2
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-95;5
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-96;1
A10-2023;C11-1;GRGEMAKT-10101;GALTEJ112-98;3
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-1;3
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-2;6
