"","gemnr","bld","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Name","Wert","cluster.om","cluster.dhd"
"1",10101,1,"stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","Eisenstadt","103","1","1"
"2",10201,1,"stark positiv","stark positiv","stark positiv","positiv","stark positiv","stark positiv","stark positiv","positiv","positiv","stark positiv","positiv","negativ","stark negativ","negativ","positiv","stark positiv","stark positiv","positiv","negativ","Rust","410","2","1"
"3",10301,1,"positiv","positiv","positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","positiv","positiv","negativ","negativ","positiv","positiv","negativ","stark negativ","stark negativ","negativ","stark positiv","Breitenbrunn am Neusiedler See","310","2","2"
"4",10302,1,"stark positiv","stark positiv","stark positiv","positiv","positiv","negativ","negativ","positiv","positiv","positiv","negativ","positiv","stark positiv","stark positiv","stark positiv","positiv","positiv","positiv","negativ","Donnerskirchen","310","2","3"
"5",10303,1,"negativ","positiv","positiv","positiv","negativ","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","positiv","negativ","positiv","positiv","stark positiv","positiv","negativ","Großhöflein","103","2","3"
"6",10304,1,"negativ","stark negativ","negativ","positiv","stark positiv","stark positiv","stark positiv","positiv","positiv","positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","stark positiv","Hornstein","310","1","1"
"7",10305,1,"negativ","negativ","stark negativ","stark negativ","positiv","positiv","stark positiv","negativ","negativ","negativ","positiv","stark positiv","stark positiv","negativ","stark negativ","stark negativ","stark positiv","stark positiv","stark positiv","Klingenbach","410","3","2"
"8",10306,1,"negativ","stark negativ","stark negativ","stark negativ","negativ","negativ","negativ","negativ","positiv","positiv","positiv","positiv","negativ","positiv","positiv","stark positiv","positiv","positiv","positiv","Leithaprodersdorf","310","2","2"
"9",10307,1,"positiv","positiv","positiv","positiv","positiv","negativ","stark negativ","stark negativ","stark negativ","stark negativ","stark negativ","negativ","stark negativ","negativ","stark negativ","stark negativ","stark negativ","stark negativ","positiv","Mörbisch am See","410","4","4"
"10",10308,1,"stark positiv","stark positiv","stark positiv","positiv","negativ","positiv","stark positiv","positiv","positiv","negativ","stark positiv","stark positiv","stark positiv","positiv","negativ","stark negativ","negativ","negativ","stark positiv","Müllendorf","103","4","2"
