jahr;gemnr;n
2002;Eisenstadt <10101>;11662,875
2002;Rust <10201>;1732,75
2002;Breitenbrunn am Neusiedler See <10301>;1725,5
2002;Donnerskirchen <10302>;1642
2002;Großhöflein <10303>;1814,625
2002;Hornstein <10304>;2627
2002;Klingenbach <10305>;1175,5
2002;Leithaprodersdorf <10306>;1178
2002;Mörbisch am See <10307>;2315,875
2002;Müllendorf <10308>;1257,25
2002;Neufeld an der Leitha <10309>;2966,25
2002;Oggau am Neusiedler See <10310>;1783,125
2002;Oslip <10311>;1314,625
2002;Purbach am Neusiedler See <10312>;2562,375
2002;Sankt Margarethen im Burgenland <10313>;2767,75
2002;Schützen am Gebirge <10314>;1379
2002;Siegendorf <10315>;2705,375
2002;Steinbrunn <10316>;1894,625
2002;Trausdorf an der Wulka <10317>;1752,5
2002;Wimpassing an der Leitha <10318>;1128
2002;Wulkaprodersdorf <10319>;1892,75
2002;Loretto <10320>;368,25
2002;Stotzing <10321>;776,875
2002;Zillingtal <10322>;870,875
2002;Zagersdorf <10323>;911,5
2002;Bocksdorf <10401>;787
2002;Burgauberg-Neudauberg <10402>;1322,625
2002;Eberau <10403>;1003,75
2002;Gerersdorf-Sulz <10404>;1046,125
2002;Güssing <10405>;3849,875
2002;Güttenbach <10406>;1002,5
2002;Heiligenbrunn <10407>;935,375
2002;Kukmirn <10408>;1965,25
2002;Neuberg im Burgenland <10409>;1053,875
2002;Neustift bei Güssing <10410>;557,375
2002;Olbendorf <10411>;1393,125
2002;Ollersdorf im Burgenland <10412>;993,625
2002;Sankt Michael im Burgenland <10413>;1073,25
2002;Stegersbach <10414>;2374
2002;Stinatz <10415>;1403
2002;Strem <10416>;916
2002;Tobaj <10417>;1395,875
2002;Hackerberg <10418>;369,875
2002;Wörterberg <10419>;480,375
2002;Großmürbisch <10420>;280
2002;Inzenhof <10421>;317,5
2002;Kleinmürbisch <10422>;256,25
2002;Tschanigraben <10423>;68,375
2002;Heugraben <10424>;251,875
2002;Rohr im Burgenland <10425>;391,25
2002;Bildein <10426>;345,25
2002;Rauchwart <10427>;467,75
2002;Moschendorf <10428>;453,25
2002;Deutsch Kaltenbrunn <10501>;1797,875
2002;Eltendorf <10502>;1024,125
2002;Heiligenkreuz im Lafnitztal <10503>;1238,375
2002;Jennersdorf <10504>;4249,375
2002;Minihof-Liebau <10505>;1164,5
2002;Mogersdorf <10506>;1210,875
2002;Neuhaus am Klausenbach <10507>;1020,625
2002;Rudersdorf <10508>;2096,625
2002;Sankt Martin an der Raab <10509>;2082,375
2002;Weichselbaum <10510>;777,375
2002;Königsdorf <10511>;739
2002;Mühlgraben <10512>;437,25
2002;Draßburg <10601>;1048
2002;Forchtenstein <10602>;2786,375
2002;Hirm <10603>;894,375
2002;Loipersbach im Burgenland <10604>;1266,875
2002;Marz <10605>;2006,375
2002;Mattersburg <10606>;6287,625
2002;Neudörfl <10607>;3998,25
2002;Pöttelsdorf <10608>;639,125
2002;Pöttsching <10609>;2706
2002;Rohrbach bei Mattersburg <10610>;2701,875
2002;Bad Sauerbrunn <10611>;1903,625
2002;Schattendorf <10612>;2458,25
2002;Sieggraben <10613>;1285,125
2002;Sigleß <10614>;1119,125
2002;Wiesen <10615>;2787,375
2002;Antau <10616>;733,375
2002;Baumgarten <10617>;890,375
2002;Zemendorf-Stöttera <10618>;1251,875
2002;Krensdorf <10619>;602,875
2002;Andau <10701>;2479,375
2002;Apetlon <10702>;1878
2002;Bruckneudorf <10703>;2691,625
2002;Deutsch Jahrndorf <10704>;545,125
2002;Frauenkirchen <10705>;2822,625
2002;Gattendorf <10706>;1107,875
2002;Gols <10707>;3491,375
2002;Halbturn <10708>;1868,875
2002;Illmitz <10709>;2513,875
2002;Jois <10710>;1302
2002;Kittsee <10711>;1870,25
2002;Mönchhof <10712>;2252,5
2002;Neusiedl am See <10713>;5612
2002;Nickelsdorf <10714>;1546,875
2002;Pama <10715>;1022
2002;Pamhagen <10716>;1768,625
2002;Parndorf <10717>;3308,5
2002;Podersdorf am See <10718>;1977,875
2002;Sankt Andrä am Zicksee <10719>;1388,75
2002;Tadten <10720>;1338,625
2002;Wallern im Burgenland <10721>;1955,875
2002;Weiden am See <10722>;1925,625
2002;Winden am See <10723>;1124,125
2002;Zurndorf <10724>;1981,5
2002;Neudorf <10725>;711,125
2002;Potzneusiedl <10726>;500,25
2002;Edelstal <10727>;597,25
2002;Deutschkreutz <10801>;3205,25
2002;Draßmarkt <10802>;1396,625
2002;Frankenau-Unterpullendorf <10803>;1255,625
2002;Großwarasdorf <10804>;1626,125
2002;Horitschon <10805>;1973,125
2002;Kaisersdorf <10806>;522
2002;Kobersdorf <10807>;1832,375
2002;Lackenbach <10808>;1078,125
2002;Lockenhaus <10809>;1984
2002;Lutzmannsburg <10810>;918,625
2002;Mannersdorf an der Rabnitz <10811>;1879,125
2002;Markt Sankt Martin <10812>;1176,25
2002;Neckenmarkt <10813>;1710,5
2002;Neutal <10814>;1020,875
2002;Nikitsch <10815>;1542,25
2002;Oberpullendorf <10816>;2804,5
2002;Pilgersdorf <10817>;1703,875
2002;Piringsdorf <10818>;883,25
2002;Raiding <10819>;815,125
2002;Ritzing <10820>;896
2002;Steinberg-Dörfl <10821>;1220,625
2002;Stoob <10822>;1402,5
2002;Weppersdorf <10823>;1794,125
2002;Lackendorf <10824>;589
2002;Unterfrauenhaid <10825>;691,5
2002;Unterrabnitz-Schwendgraben <10826>;629,625
2002;Weingraben <10827>;386,25
2002;Oberloisdorf <10828>;804,125
2002;Bad Tatzmannsdorf <10901>;1296,5
2002;Bernstein <10902>;2389,375
2002;Deutsch Schützen-Eisenberg <10903>;1146,75
2002;Grafenschachen <10904>;1208
2002;Großpetersdorf <10905>;3586,25
2002;Hannersdorf <10906>;828,125
2002;Kemeten <10907>;1532,875
2002;Kohfidisch <10908>;1443,875
2002;Litzelsdorf <10909>;1142,875
2002;Loipersdorf-Kitzladen <10910>;1241,875
2002;Mariasdorf <10911>;1254,25
2002;Markt Allhau <10912>;1747,25
2002;Markt Neuhodis <10913>;745,25
2002;Mischendorf <10914>;1752,5
2002;Oberdorf im Burgenland <10915>;1102
2002;Oberschützen <10916>;2268,375
2002;Oberwart <10917>;6615,375
2002;Pinkafeld <10918>;5192,875
2002;Rechnitz <10919>;3155,75
2002;Riedlingsdorf <10920>;1634,875
2002;Rotenturm an der Pinka <10921>;1395,375
2002;Schachendorf <10922>;806,5
2002;Stadtschlaining <10923>;2064,625
2002;Unterkohlstätten <10924>;1098
2002;Unterwart <10925>;942,5
2002;Weiden bei Rechnitz <10926>;909,375
2002;Wiesfleck <10927>;1171
2002;Wolfau <10928>;1344,75
2002;Neustift an der Lafnitz <10929>;639,375
2002;Jabing <10930>;729
2002;Badersdorf <10931>;316
2002;Schandorf <10932>;309,625
2003;Eisenstadt <10101>;11718,25
2003;Rust <10201>;1752,875
2003;Breitenbrunn am Neusiedler See <10301>;1739
2003;Donnerskirchen <10302>;1651,25
2003;Großhöflein <10303>;1811,875
2003;Hornstein <10304>;2631,125
2003;Klingenbach <10305>;1177,375
2003;Leithaprodersdorf <10306>;1176,125
2003;Mörbisch am See <10307>;2318,375
2003;Müllendorf <10308>;1259,375
2003;Neufeld an der Leitha <10309>;2979,125
2003;Oggau am Neusiedler See <10310>;1781,25
2003;Oslip <10311>;1296,75
2003;Purbach am Neusiedler See <10312>;2575,875
2003;Sankt Margarethen im Burgenland <10313>;2773,625
2003;Schützen am Gebirge <10314>;1381,125
2003;Siegendorf <10315>;2696,75
2003;Steinbrunn <10316>;1930,875
2003;Trausdorf an der Wulka <10317>;1767,625
2003;Wimpassing an der Leitha <10318>;1131,375
2003;Wulkaprodersdorf <10319>;1885,5
2003;Loretto <10320>;373,125
2003;Stotzing <10321>;787
2003;Zillingtal <10322>;884,75
2003;Zagersdorf <10323>;913,375
2003;Bocksdorf <10401>;774,5
2003;Burgauberg-Neudauberg <10402>;1335
2003;Eberau <10403>;971,625
2003;Gerersdorf-Sulz <10404>;1053
2003;Güssing <10405>;3826
2003;Güttenbach <10406>;978
2003;Heiligenbrunn <10407>;921
2003;Kukmirn <10408>;1964,625
2003;Neuberg im Burgenland <10409>;1035,625
2003;Neustift bei Güssing <10410>;545,625
2003;Olbendorf <10411>;1379,25
2003;Ollersdorf im Burgenland <10412>;988,125
2003;Sankt Michael im Burgenland <10413>;1063,5
2003;Stegersbach <10414>;2382,5
2003;Stinatz <10415>;1419,125
2003;Strem <10416>;910,375
2003;Tobaj <10417>;1407
2003;Hackerberg <10418>;363,25
2003;Wörterberg <10419>;480
2003;Großmürbisch <10420>;272,125
2003;Inzenhof <10421>;312,75
2003;Kleinmürbisch <10422>;254,75
2003;Tschanigraben <10423>;69,875
2003;Heugraben <10424>;246,875
2003;Rohr im Burgenland <10425>;381,5
2003;Bildein <10426>;338,125
2003;Rauchwart <10427>;461,625
2003;Moschendorf <10428>;438,5
2003;Deutsch Kaltenbrunn <10501>;1781,25
2003;Eltendorf <10502>;1008,875
2003;Heiligenkreuz im Lafnitztal <10503>;1233,125
2003;Jennersdorf <10504>;4224
2003;Minihof-Liebau <10505>;1157,75
2003;Mogersdorf <10506>;1206,25
2003;Neuhaus am Klausenbach <10507>;1008,75
2003;Rudersdorf <10508>;2121
2003;Sankt Martin an der Raab <10509>;2077,5
2003;Weichselbaum <10510>;771,25
2003;Königsdorf <10511>;736,25
2003;Mühlgraben <10512>;427
2003;Draßburg <10601>;1047,5
2003;Forchtenstein <10602>;2776,5
2003;Hirm <10603>;906,375
2003;Loipersbach im Burgenland <10604>;1259,625
2003;Marz <10605>;1982,125
2003;Mattersburg <10606>;6358,5
2003;Neudörfl <10607>;4038,75
2003;Pöttelsdorf <10608>;647
2003;Pöttsching <10609>;2751,125
2003;Rohrbach bei Mattersburg <10610>;2719,375
2003;Bad Sauerbrunn <10611>;1920,5
2003;Schattendorf <10612>;2435,875
2003;Sieggraben <10613>;1290,75
2003;Sigleß <10614>;1116,375
2003;Wiesen <10615>;2772,875
2003;Antau <10616>;728,375
2003;Baumgarten <10617>;889,375
2003;Zemendorf-Stöttera <10618>;1240,5
2003;Krensdorf <10619>;604,625
2003;Andau <10701>;2459
2003;Apetlon <10702>;1859,5
2003;Bruckneudorf <10703>;2746,625
2003;Deutsch Jahrndorf <10704>;537,5
2003;Frauenkirchen <10705>;2818,375
2003;Gattendorf <10706>;1115,125
2003;Gols <10707>;3495,625
2003;Halbturn <10708>;1856
2003;Illmitz <10709>;2505,75
2003;Jois <10710>;1318,125
2003;Kittsee <10711>;1862,25
2003;Mönchhof <10712>;2247,375
2003;Neusiedl am See <10713>;5666,75
2003;Nickelsdorf <10714>;1539,75
2003;Pama <10715>;1026,875
2003;Pamhagen <10716>;1756,25
2003;Parndorf <10717>;3467,75
2003;Podersdorf am See <10718>;1987,375
2003;Sankt Andrä am Zicksee <10719>;1375,375
2003;Tadten <10720>;1305,75
2003;Wallern im Burgenland <10721>;1939,5
2003;Weiden am See <10722>;1950,125
2003;Winden am See <10723>;1109,625
2003;Zurndorf <10724>;1977,375
2003;Neudorf <10725>;701,625
2003;Potzneusiedl <10726>;502
2003;Edelstal <10727>;601,5
2003;Deutschkreutz <10801>;3205,875
