jahr;gemnr;n
2002;Klagenfurt am Wörthersee <20101>;91056,75
2002;Villach <20201>;57400,375
2002;Albeck <21001>;1100
2002;Feldkirchen in Kärnten <21002>;14110,75
2002;Glanegg <21003>;2022
2002;Gnesau <21004>;1201,75
2002;Himmelberg <21005>;2342,875
2002;Ossiach <21006>;745,375
2002;Reichenau <21007>;2033,875
2002;St. Urban <21008>;1481,625
2002;Steindorf am Ossiacher See <21009>;3557,625
2002;Steuerberg <21010>;1706,5
2002;Dellach <20302>;1358,75
2002;Gitschtal <20320>;1316,75
2002;Hermagor-Pressegger See <20305>;7217,5
2002;Kirchbach <20306>;2847,25
2002;Kötschach-Mauthen <20307>;3585,5
2002;Lesachtal <20321>;1533,375
2002;St. Stefan im Gailtal <20316>;1756,875
2002;Ebenthal in Kärnten <20402>;7418,5
2002;Feistritz im Rosental <20403>;2678
2002;Ferlach <20405>;7587
2002;Grafenstein <20409>;2621,25
2002;Keutschach am See <20412>;2312,25
2002;Köttmannsdorf <20414>;2779,5
2002;Krumpendorf am Wörthersee <20415>;2867,875
2002;Ludmannsdorf <20416>;1840,25
2002;Maria Rain <20417>;2057,625
2002;Maria Saal <20418>;3817,625
2002;Maria Wörth <20419>;1273,375
2002;Moosburg <20421>;4514
2002;Pörtschach am Wörther See <20424>;2647,375
2002;Poggersdorf <20425>;2892,25
2002;Schiefling am Wörthersee <20432>;2313,75
2002;St. Margareten im Rosental <20428>;1114,75
2002;Techelsberg am Wörther See <20435>;2084,375
2002;Zell <20441>;701,125
2002;Magdalensberg <20442>;2991,375
2002;Althofen <20501>;4701,875
2002;Brückl <20502>;3078,125
2002;Deutsch-Griffen <20503>;1005,625
2002;Eberstein <20504>;1533,75
2002;Friesach <20505>;5438
2002;Glödnitz <20506>;963,875
2002;Gurk <20508>;1290,125
2002;Guttaring <20509>;1553,5
2002;Hüttenberg <20511>;1761,375
2002;Kappel am Krappfeld <20512>;2040,75
2002;Klein St. Paul <20513>;2158,625
2002;Liebenfels <20515>;3258,625
2002;Metnitz <20518>;2435,125
2002;Micheldorf <20519>;1165,25
2002;Mölbling <20520>;1294,125
2002;St. Georgen am Längsee <20523>;3563,625
2002;St. Veit an der Glan <20527>;12909,875
2002;Straßburg <20530>;2293,625
2002;Weitensfeld im Gurktal <20531>;2424,5
2002;Frauenstein <20534>;3483,125
2002;Bad Kleinkirchheim <20601>;1881,625
2002;Baldramsdorf <20602>;1822,875
2002;Berg im Drautal <20603>;1377,625
2002;Dellach im Drautal <20604>;1752,875
2002;Großkirchheim <20605>;1595,75
2002;Flattach <20607>;1375,625
2002;Gmünd in Kärnten <20608>;2634,5
2002;Greifenburg <20609>;1908,375
2002;Heiligenblut am Großglockner <20610>;1156,5
2002;Irschen <20611>;2089,375
2002;Kleblach-Lind <20613>;1265,375
2002;Lendorf <20616>;1778,5
2002;Mallnitz <20618>;984,75
2002;Malta <20619>;2155,5
2002;Millstatt am See <20620>;3338,25
2002;Mörtschach <20622>;946,875
2002;Mühldorf <20624>;959
2002;Oberdrauburg <20625>;1313,625
2002;Obervellach <20627>;2470,25
2002;Radenthein <20630>;6668,125
2002;Rangersdorf <20631>;1790,625
2002;Rennweg am Katschberg <20632>;2001,5
2002;Sachsenburg <20633>;1431,5
2002;Seeboden am Millstätter See <20634>;6048,375
2002;Spittal an der Drau <20635>;16066,75
2002;Stall <20636>;1816,25
2002;Steinfeld <20637>;2242
2002;Trebesing <20638>;1272
2002;Weißensee <20639>;795,75
2002;Winklern <20640>;1138
2002;Krems in Kärnten <20642>;2162,5
2002;Lurnfeld <20643>;2707,5
2002;Reißeck <20644>;2524,125
2002;Afritz am See <20701>;1490,25
2002;Arnoldstein <20702>;6778,375
2002;Arriach <20703>;1566,25
2002;Bad Bleiberg <20705>;2711,375
2002;Feistritz an der Gail <20707>;655,625
2002;Feld am See <20708>;1222,875
2002;Ferndorf <20710>;2445
2002;Finkenstein am Faaker See <20711>;8193,875
2002;Fresach <20712>;1313
2002;Hohenthurn <20713>;840,625
2002;Nötsch im Gailtal <20719>;2371,25
2002;Paternion <20720>;6132,125
2002;Rosegg <20721>;1820,375
2002;St. Jakob im Rosental <20722>;4477,375
2002;Stockenboi <20723>;1735,5
2002;Treffen am Ossiacher See <20724>;4293,25
2002;Velden am Wörther See <20725>;8597
2002;Weißenstein <20726>;3100,375
2002;Wernberg <20727>;4859,625
2002;Bleiburg <20801>;4052,375
2002;Diex <20802>;862,375
2002;Eberndorf <20803>;6037
2002;Eisenkappel-Vellach <20804>;2674,125
