jahr;gemnr;n
2002;Allhartsberg <30501>;1796,25
2002;Amstetten <30502>;22690,75
2002;Ardagger <30503>;3289,625
2002;Aschbach-Markt <30504>;3542,375
2002;Behamberg <30506>;3135,5
2002;Biberbach <30507>;2089,375
2002;Ennsdorf <30508>;2391,375
2002;Ernsthofen <30509>;2114,5
2002;Ertl <30510>;1252,375
2002;Euratsfeld <30511>;2345,5
2002;Ferschnitz <30512>;1597,125
2002;Haag <30514>;5162,25
2002;Haidershofen <30515>;3436,125
2002;Hollenstein an der Ybbs <30516>;1871,875
2002;Kematen an der Ybbs <30517>;2438,625
2002;Neuhofen an der Ybbs <30520>;2523,75
2002;Neustadtl an der Donau <30521>;2128,375
2002;Oed-Oehling <30522>;1519,625
2002;Opponitz <30524>;949,125
2002;St. Georgen am Reith <30526>;584,5
2002;St. Georgen am Ybbsfelde <30527>;2533,375
2002;St. Pantaleon-Erla <30529>;2486,375
2002;St. Peter in der Au <30530>;4881,625
2002;St. Valentin <30531>;8998,625
2002;Seitenstetten <30532>;3118,125
2002;Sonntagberg <30533>;4212,25
2002;Strengberg <30534>;2075,625
2002;Viehdorf <30536>;1176,25
2002;Wallsee-Sindelburg <30538>;2079,75
2002;Weistrach <30539>;2211,125
2002;Winklarn <30541>;1453,625
2002;Wolfsbach <30542>;1810,625
2002;Ybbsitz <30543>;3793,625
2002;Zeillern <30544>;1654,375
2002;Alland <30601>;2373,375
2002;Altenmarkt an der Triesting <30602>;2028,875
2002;Bad Vöslau <30603>;10956
2002;Baden <30604>;24693,25
2002;Berndorf <30605>;8654,5
2002;Blumau-Neurißhof <30646>;1690,625
2002;Ebreichsdorf <30607>;8926
2002;Enzesfeld-Lindabrunn <30608>;4020,625
2002;Furth an der Triesting <30609>;789,75
2002;Günselsdorf <30612>;1752,25
2002;Heiligenkreuz <30613>;1339,125
2002;Hernstein <30614>;1416,75
2002;Hirtenberg <30615>;2268,625
2002;Klausen-Leopoldsdorf <30616>;1425,625
2002;Kottingbrunn <30618>;6669,625
2002;Leobersdorf <30620>;4212,5
2002;Mitterndorf an der Fischa <30621>;1543
2002;Oberwaltersdorf <30623>;3365
2002;Pfaffstätten <30625>;2614,5
2002;Pottendorf <30626>;5957,875
2002;Pottenstein <30627>;2912,5
2002;Reisenberg <30629>;1406,25
2002;Schönau an der Triesting <30631>;1779,375
2002;Seibersdorf <30633>;1275,25
2002;Sooß <30635>;1065,75
2002;Tattendorf <30636>;1224,875
2002;Teesdorf <30637>;1400,375
2002;Traiskirchen <30639>;15078,375
2002;Trumau <30641>;2525,5
2002;Weissenbach an der Triesting <30645>;1673,625
2002;Aderklaa <30801>;203,875
2002;Andlersdorf <30802>;119,25
2002;Angern an der March <30803>;3218,875
2002;Auersthal <30804>;1853
2002;Bad Pirawarth <30805>;1534,875
2002;Baumgarten ^<30806>;-
2002;Deutsch-Wagram <30808>;6828
2002;Drösing <30810>;1174,75
2002;Dürnkrut <30811>;2209
2002;Ebenthal <30812>;807,125
2002;Eckartsau <30813>;1138,125
2002;Engelhartstetten <30814>;1840,75
2002;Gänserndorf <30817>;8017,75
2002;Glinzendorf <30819>;249,625
2002;Groß-Enzersdorf <30821>;8193,875
2002;Großhofen <30822>;89,625
2002;Groß-Schweinbarth <30824>;1311,5
2002;Haringsee <30825>;1154,25
2002;Hauskirchen <30826>;1252,625
2002;Hohenau an der March <30827>;2784,125
2002;Hohenruppersdorf <30828>;927,625
2002;Jedenspeigen <30829>;1162,375
2002;Lassee <30830>;2325,625
2002;Leopoldsdorf im Marchfeld <30831>;2351,875
2002;Mannsdorf an der Donau <30834>;428,625
2002;Marchegg <30835>;2829,75
2002;Markgrafneusiedl <30836>;773,375
2002;Matzen-Raggendorf <30838>;2566,75
2002;Neusiedl an der Zaya <30841>;1241
2002;Obersiebenbrunn <30842>;1418,375
2002;Orth an der Donau <30844>;1994
2002;Palterndorf-Dobermannsdorf <30845>;1244,75
2002;Parbasdorf <30846>;136,625
2002;Prottes <30848>;1287,25
2002;Raasdorf <30849>;562,25
2002;Ringelsdorf-Niederabsdorf <30850>;1405
2002;Schönkirchen-Reyersdorf <30852>;1845,5
2002;Spannberg <30854>;962,25
2002;Strasshof an der Nordbahn <30856>;7179,25
2002;Sulz im Weinviertel <30857>;1194,25
2002;Untersiebenbrunn <30858>;1420,875
2002;Velm-Götzendorf <30859>;759,625
2002;Weiden an der March <30865>;902,125
2002;Weikendorf <30860>;1957,25
2002;Zistersdorf <30863>;5589,75
2002;Zwerndorf ^<30864>;-
2002;Amaliendorf-Aalfang <30902>;1169,75
2002;Bad Großpertholz <30910>;1542,25
2002;Brand-Nagelberg <30903>;1824
2002;Eggern <30904>;759,125
2002;Eisgarn <30906>;691,25
2002;Gmünd <30908>;5792,125
2002;Großdietmanns <30909>;2201,625
2002;Großschönau <30912>;1255,875
2002;Haugschlag <30915>;523,125
2002;Heidenreichstein <30916>;4527,125
2002;Hirschbach <30917>;579,125
2002;Hoheneich <30920>;1552,75
2002;Kirchberg am Walde <30921>;1466,875
2002;Litschau <30925>;2479,125
2002;Moorbad Harbach <30913>;691,125
2002;Reingers <30929>;715,375
2002;St. Martin <30932>;1179,75
2002;Schrems <30935>;5784,875
2002;Seyfrieds ^<30936>;-
2002;Unserfrau-Altweitra <30939>;1026,625
2002;Waldenstein <30940>;1210,375
2002;Weitra <30942>;2890,5
2002;Wolfsegg ^<30944>;-
2002;Alberndorf im Pulkautal <31001>;721,25
2002;Göllersdorf <31008>;2912,25
2002;Grabern <31009>;1348,5
2002;Guntersdorf <31014>;1113,375
2002;Hadres <31015>;1701,125
2002;Hardegg <31016>;1465,25
2002;Haugsdorf <31018>;1708,625
2002;Heldenberg <31019>;1086,75
2002;Hofern ^<31020>;-
2002;Hohenwarth-Mühlbach a.M. <31021>;1292
2002;Hollabrunn <31022>;10805,5
2002;Mailberg <31025>;564,875
2002;Maissau <31026>;1862,625
2002;Nappersdorf-Kammersdorf <31028>;1315,25
2002;Niederfladnitz ^<31029>;-
2002;Pernersdorf <31033>;1026,875
2002;Pulkau <31035>;1547,25
2002;Ravelsbach <31036>;1775,125
2002;Retz <31037>;4193,375
2002;Retzbach <31038>;1045,875
2002;Schrattenthal <31041>;875,25
2002;Seefeld-Kadolz <31042>;982,75
2002;Sitzendorf an der Schmida <31043>;2221
2002;Wullersdorf <31051>;2412,125
2002;Zellerndorf <31052>;2626,75
2002;Ziersdorf <31053>;3305,5
2002;Au am Leithaberge <30701>;907,75
2002;Bad Deutsch-Altenburg <30702>;1361,75
2002;Berg <30703>;662,75
2002;Bruck an der Leitha <30704>;7364,375
2002;Ebergassing <30729>;-
2002;Enzersdorf an der Fischa <30706>;2739,25
2002;Fischamend <30730>;-
2002;Göttlesbrunn-Arbesthal <30708>;1329,25
2002;Götzendorf an der Leitha <30709>;1874,25
2002;Gramatneusiedl <30731>;-
2002;Hainburg a.d. Donau <30710>;5632,375
2002;Haslau-Maria Ellend <30711>;1327,75
2002;Himberg <30732>;-
2002;Hof am Leithaberge <30713>;1373,75
2002;Höflein <30712>;1129,125
2002;Hundsheim <30715>;558,25
2002;Klein-Neusiedl <30733>;-
2002;Lanzendorf <30734>;-
2002;Leopoldsdorf <30735>;-
2002;Mannersdorf am Leithagebirge <30716>;3703,875
