jahr;gemnr;n
2002;Linz <40101>;183286,375
2002;Steyr <40201>;39263
2002;Wels <40301>;57104,875
2002;Alkoven <40501>;5223,75
2002;Aschach an der Donau <40502>;2132,75
2002;Eferding <40503>;3384,25
2002;Fraham <40504>;2002,25
2002;Haibach ob der Donau <40505>;1295
2002;Hartkirchen <40506>;4172,625
2002;Hinzenbach <40507>;1979
2002;Prambachkirchen <40508>;2783,125
2002;Pupping <40509>;1827,25
2002;St. Marienkirchen an der Polsenz <40510>;2219,625
2002;Scharten <40511>;2114,25
2002;Stroheim <40512>;1564,375
2002;Bad Zell <40627>;2721,375
2002;Freistadt <40601>;7457
2002;Grünbach <40602>;1830,625
2002;Gutau <40603>;2638,375
2002;Hagenberg im Mühlkreis <40604>;2539,75
2002;Hirschbach im Mühlkreis <40605>;1178,75
2002;Kaltenberg <40606>;652,125
2002;Kefermarkt <40607>;2068,5
2002;Königswiesen <40608>;3146,5
2002;Lasberg <40609>;2762,5
2002;Leopoldschlag <40610>;1068,75
2002;Liebenau <40611>;1822,5
2002;Neumarkt im Mühlkreis <40612>;3061,25
2002;Pierbach <40613>;965,5
2002;Pregarten <40614>;4822,5
2002;Rainbach im Mühlkreis <40615>;2916,125
2002;Sandl <40616>;1516,5
2002;St. Leonhard bei Freistadt <40617>;1463,125
2002;St. Oswald bei Freistadt <40618>;2689,5
2002;Schönau im Mühlkreis <40619>;1822,625
2002;Tragwein <40620>;2993,625
2002;Unterweißenbach <40621>;2291,25
2002;Unterweitersdorf <40622>;1724,625
2002;Waldburg <40623>;1357,125
2002;Wartberg ob der Aist <40624>;3803,5
2002;Weitersfelden <40625>;1115,875
2002;Windhaag bei Freistadt <40626>;1722,75
2002;Altmünster <40701>;9470,25
2002;Bad Goisern am Hallstättersee <40702>;7597,625
2002;Bad Ischl <40703>;14118,25
2002;Ebensee am Traunsee <40704>;8335,5
2002;Gmunden <40705>;13136,625
2002;Gosau <40706>;1927,875
2002;Grünau im Almtal <40707>;2103,25
2002;Gschwandt <40708>;2461,5
2002;Hallstatt <40709>;932,875
2002;Kirchham <40710>;1916
2002;Laakirchen <40711>;9224,625
2002;Obertraun <40712>;757,125
2002;Ohlsdorf <40713>;4584,125
2002;Pinsdorf <40714>;3456
2002;Roitham am Traunfall <40715>;2008,75
2002;St. Konrad <40716>;1031
2002;St. Wolfgang im Salzkammergut <40717>;2792,25
2002;Scharnstein <40719>;4567,75
2002;Traunkirchen <40718>;1751,25
2002;Vorchdorf <40720>;7256,25
2002;Aistersheim <40801>;786,375
2002;Bad Schallerbach <40802>;3320,5
2002;Bruck-Waasen ^<40803>;2299,75
2002;Eschenau im Hausruckkreis <40804>;1164
2002;Gallspach <40805>;2549,625
2002;Gaspoltshofen <40806>;3588,625
2002;Geboltskirchen <40807>;1412,125
2002;Grieskirchen <40808>;4745,375
2002;Haag am Hausruck <40809>;2075,875
2002;Heiligenberg <40810>;708,375
2002;Hofkirchen an der Trattnach <40811>;1500,75
2002;Kallham <40812>;2532,875
2002;Kematen am Innbach <40813>;1301,5
2002;Meggenhofen <40814>;1253,625
2002;Michaelnbach <40815>;1234,625
2002;Natternbach <40816>;2325
2002;Neukirchen am Walde <40817>;1679,375
2002;Neumarkt im Hausruckkreis <40818>;1460,25
2002;Peuerbach ^<40819>;2200,5
2002;Peuerbach <40835>;-
2002;Pollham <40821>;915,625
2002;Pötting <40820>;536,25
2002;Pram <40822>;1819,5
2002;Rottenbach <40823>;1034,875
2002;St. Agatha <40824>;2138,5
2002;St. Georgen bei Grieskirchen <40825>;1017
2002;St. Thomas <40826>;455,875
2002;Schlüßlberg <40827>;2969,125
2002;Steegen <40828>;1111,25
