jahr;gemnr;n
2002;Salzburg <50101>;143435,625
2002;Abtenau <50201>;5705,875
2002;Adnet <50202>;3330,375
2002;Annaberg-Lungötz <50203>;2303,625
2002;Golling an der Salzach <50204>;3964,375
2002;Hallein <50205>;18556,125
2002;Krispl <50206>;839
2002;Kuchl <50207>;6385
2002;Oberalm <50208>;3836,25
2002;Puch bei Hallein <50209>;4081,875
2002;Rußbach am Paß Gschütt <50210>;810,625
2002;St. Koloman <50211>;1519,25
2002;Scheffau am Tennengebirge <50212>;1291
2002;Bad Vigaun <50213>;1858,375
2002;Anif <50301>;4086
2002;Anthering <50302>;3152
2002;Bergheim <50303>;4872,5
2002;Berndorf bei Salzburg <50304>;1571,25
2002;Bürmoos <50305>;4493,625
2002;Dorfbeuern <50306>;1396,75
2002;Ebenau <50307>;1340,75
2002;Elixhausen <50308>;2664,125
2002;Elsbethen <50309>;5099,625
2002;Eugendorf <50310>;6211,875
2002;Faistenau <50311>;2852,375
2002;Fuschl am See <50312>;1366,375
2002;Göming <50313>;616,125
2002;Grödig <50314>;6655,125
2002;Großgmain <50315>;2363,25
2002;Hallwang <50316>;3596,75
2002;Henndorf am Wallersee <50317>;4687,5
2002;Hintersee <50318>;456,75
2002;Hof bei Salzburg <50319>;3397,75
2002;Köstendorf <50320>;2450,5
2002;Koppl <50321>;3032,25
2002;Lamprechtshausen <50322>;3138,5
2002;Mattsee <50323>;2924
2002;Neumarkt am Wallersee <50324>;5457,375
2002;Nußdorf am Haunsberg <50325>;2199,125
2002;Oberndorf bei Salzburg <50326>;5421,625
2002;Obertrum am See <50327>;4228,75
2002;Plainfeld <50328>;1142,875
2002;St. Georgen bei Salzburg <50329>;2759,25
2002;St. Gilgen <50330>;3670,375
2002;Schleedorf <50331>;908,625
2002;Seeham <50332>;1696
2002;Seekirchen Markt ^<50334>;-
2002;Straßwalchen <50335>;6783,75
2002;Strobl <50336>;3545,125
2002;Thalgau <50337>;5184,5
2002;Wals-Siezenheim <50338>;11148,125
2002;Seekirchen am Wallersee <50339>;9427
2002;Altenmarkt im Pongau <50401>;3477,875
2002;Bad Hofgastein <50402>;6782,5
