jahr;gemnr;n
2002;Aflenz Kurort ^<60201>;1037,75
2002;Aflenz Land ^<60202>;1643,875
2002;Breitenau am Hochlantsch ^<60203>;2062,25
2002;Bruck an der Mur ^<60204>;13459,875
2002;Etmißl ^<60205>;515,875
2002;Frauenberg ^<60206>;170,25
2002;Gußwerk ^<60207>;1507,625
2002;Halltal ^<60208>;350,25
2002;Kapfenberg ^<60209>;22062,625
2002;Mariazell ^<60210>;1667,125
2002;Oberaich ^<60211>;2917
2002;Parschlug ^<60212>;1731,5
2002;Pernegg an der Mur ^<60213>;2518,625
2002;Sankt Ilgen ^<60214>;294,25
2002;Sankt Katharein an der Laming ^<60215>;1161,5
2002;Sankt Lorenzen im Mürztal ^<60216>;3242,125
2002;Sankt Marein im Mürztal ^<60217>;2342,125
2002;Sankt Sebastian ^<60218>;1151,125
2002;Thörl ^<60219>;1925,875
2002;Tragöß ^<60220>;1125,625
2002;Turnau ^<60221>;1646,375
2002;Aflenz  <62138>;-
2002;Aflenz Kurort ^<62101>;-
2002;Aflenz Land ^<62102>;-
2002;Allerheiligen im Mürztal ^<62103>;-
2002;Altenberg an der Rax ^<62104>;-
2002;Breitenau am Hochlantsch <62105>;-
2002;Bruck an der Mur ^<62106>;-
2002;Bruck an der Mur <62139>;-
2002;Etmißl ^<62107>;-
2002;Frauenberg ^<62108>;-
2002;Ganz ^<62109>;-
2002;Gußwerk ^<62110>;-
2002;Halltal ^<62111>;-
2002;Kapellen ^<62112>;-
2002;Kapfenberg ^<62113>;-
2002;Kapfenberg <62140>;-
2002;Kindberg ^<62114>;-
2002;Kindberg <62141>;-
2002;Krieglach <62115>;-
2002;Langenwang <62116>;-
2002;Mariazell ^<62117>;-
2002;Mariazell <62142>;-
2002;Mitterdorf im Mürztal ^<62118>;-
2002;Mürzhofen ^<62119>;-
2002;Mürzsteg ^<62120>;-
2002;Mürzzuschlag ^<62121>;-
2002;Mürzzuschlag <62143>;-
2002;Neuberg an der Mürz ^<62122>;-
2002;Neuberg an der Mürz <62144>;-
2002;Oberaich ^<62123>;-
2002;Parschlug ^<62124>;-
2002;Pernegg an der Mur <62125>;-
2002;Sankt Barbara im Mürztal <62145>;-
2002;Sankt Ilgen ^<62126>;-
2002;Sankt Katharein an der Laming ^<62127>;-
2002;Sankt Lorenzen im Mürztal <62128>;-
2002;Sankt Marein im Mürztal ^<62129>;-
2002;Sankt Marein im Mürztal <62146>;-
2002;Sankt Sebastian ^<62130>;-
2002;Spital am Semmering <62131>;-
2002;Stanz im Mürztal <62132>;-
2002;Thörl ^<62133>;-
2002;Thörl <62147>;-
2002;Tragöß ^<62134>;-
2002;Tragöß-Sankt Katharein <62148>;-
2002;Turnau <62135>;-
2002;Veitsch ^<62136>;-
2002;Wartberg im Mürztal ^<62137>;-
2002;Aibl ^<60301>;1507,625
2002;Bad Gams ^<60307>;2267
2002;Bad Schwanberg <60349>;-
2002;Deutschlandsberg ^<60302>;8017,75
2002;Deutschlandsberg <60344>;-
2002;Eibiswald ^<60303>;1470,75
