jahr;gemnr;n
2002;Innsbruck <70101>;112869
2002;Arzl im Pitztal <70201>;2799,5
2002;Haiming <70202>;3911,125
2002;Imst <70203>;8830,875
2002;Imsterberg <70204>;735,625
2002;Jerzens <70205>;915,875
2002;Karres <70206>;582,25
2002;Karrösten <70207>;693,875
2002;Längenfeld <70208>;4115,125
2002;Mieming <70209>;2945,5
2002;Mils bei Imst <70210>;544,875
2002;Mötz <70211>;1179,375
2002;Nassereith <70212>;2035,375
2002;Obsteig <70213>;995,25
2002;Oetz <70214>;2215,125
2002;Rietz <70215>;2004
2002;Roppen <70216>;1593,125
2002;St. Leonhard im Pitztal <70217>;1509,5
2002;Sautens <70218>;1306,875
2002;Silz <70219>;2404,125
2002;Sölden <70220>;3358,25
2002;Stams <70221>;1262,5
2002;Tarrenz <70222>;2540,125
2002;Umhausen <70223>;2858,875
2002;Wenns <70224>;1991
2002;Absam <70301>;6414,875
2002;Aldrans <70302>;1943,875
2002;Ampass <70303>;1323,125
2002;Axams <70304>;5316
2002;Baumkirchen <70305>;1089
2002;Birgitz <70306>;1193,75
2002;Ellbögen <70307>;1071
2002;Flaurling <70308>;1131,625
2002;Fritzens <70309>;2020
2002;Fulpmes <70310>;3914,125
2002;Gnadenwald <70311>;643,875
2002;Götzens <70312>;3598
2002;Gries am Brenner <70313>;1249,5
2002;Gries im Sellrain <70314>;576,125
2002;Grinzens <70315>;1299,875
2002;Gschnitz <70317>;450,75
2002;Hatting <70318>;1027,75
2002;Inzing <70319>;3233
2002;Kematen in Tirol <70320>;2575,875
2002;Kolsass <70322>;1418,625
2002;Kolsassberg <70323>;728,375
2002;Kreith ^<70324>;-
2002;Lans <70325>;892,875
2002;Leutasch <70326>;2032,875
2002;Matrei am Brenner <70370>;-
2002;Matrei am Brenner ^<70327>;990,375
2002;Mieders <70328>;1591
2002;Mils <70329>;3819,125
2002;Mühlbachl ^<70330>;1394,875
2002;Mutters <70331>;1948,375
2002;Natters <70332>;1858,5
2002;Navis <70333>;1910,75
2002;Neustift im Stubaital <70334>;4417,25
2002;Oberhofen im Inntal <70335>;1604
2002;Obernberg am Brenner <70336>;357,125
2002;Oberperfuss <70337>;2743,125
2002;Patsch <70338>;872,5
2002;Pettnau <70339>;956,25
2002;Pfaffenhofen <70340>;1130,25
2002;Pfons ^<70341>;1236,25
2002;Polling in Tirol <70342>;771,5
2002;Ranggen <70343>;853,5
2002;Reith bei Seefeld <70344>;1120,875
2002;Rinn <70345>;1409,5
2002;Rum <70346>;8371,375
2002;St. Sigmund im Sellrain <70347>;194,375
2002;Scharnitz <70348>;1266,125
2002;Schmirn <70349>;889,625
2002;Schönberg im Stubaital <70350>;1002,375
2002;Seefeld in Tirol <70351>;3118,25
2002;Sellrain <70352>;1360,25
2002;Sistrans <70353>;1774,75
2002;Hall in Tirol <70354>;11567,25
2002;Steinach am Brenner <70355>;3297,875
2002;Telfes im Stubai <70356>;1359,25
2002;Telfs <70357>;12991,125
2002;Thaur <70358>;3482,125
2002;Trins <70359>;1193,375
2002;Tulfes <70360>;1356,625
2002;Unterperfuss <70361>;191,75
2002;Vals <70362>;510,875
2002;Vögelsberg ^<70363>;-
2002;Völs <70364>;6661,625
2002;Volders <70365>;4129
2002;Wattenberg <70366>;719,625
2002;Wattens <70367>;7319,875
2002;Wildermieming <70368>;769,875
2002;Zirl <70369>;6287,25
2002;Aurach bei Kitzbühel <70401>;1216
2002;Brixen im Thale <70402>;2567,25
2002;Fieberbrunn <70403>;4249
2002;Going am Wilden Kaiser <70404>;1756,375
2002;Hochfilzen <70405>;1095,875
2002;Hopfgarten im Brixental <70406>;5272,875
2002;Itter <70407>;1060,25
2002;Jochberg <70408>;1522,125
2002;Kirchberg in Tirol <70409>;5007,5
2002;Kirchdorf in Tirol <70410>;3505,125
2002;Kitzbühel <70411>;8514,5
2002;Kössen <70412>;4002,125
2002;Oberndorf in Tirol <70413>;1936,375
2002;Reith bei Kitzbühel <70414>;1628,375
2002;St. Jakob in Haus <70415>;624,625
2002;St. Johann in Tirol <70416>;7995,5
2002;St. Ulrich am Pillersee <70417>;1448,75
2002;Schwendt <70418>;745,375
2002;Waidring <70419>;1818,375
2002;Westendorf <70420>;3457,375
2002;Alpbach <70501>;2513
2002;Angath <70502>;893,875
2002;Bad Häring <70503>;2300,625
2002;Brandenberg <70504>;1529,875
2002;Breitenbach am Inn <70505>;3163
2002;Brixlegg <70506>;2767
2002;Buchberg am Kaiser ^<70507>;-
2002;Ebbs <70508>;4959
2002;Ellmau <70509>;2557,25
2002;Erl <70510>;1403,875
2002;Kirchbichl <70511>;5152,25
2002;Kramsach <70512>;4401,25
2002;Kufstein <70513>;15570,75
2002;Kundl <70514>;3739,875
2002;Langkampfen <70515>;3581,875
2002;Mariastein <70516>;280,375
2002;Münster <70517>;2742,5
2002;Niederndorf <70518>;2458,125
2002;Niederndorferberg <70519>;630,125
2002;Radfeld <70520>;2132,5
2002;Rattenberg <70521>;428,875
2002;Reith im Alpbachtal <70522>;2658,5
2002;Rettenschöss <70523>;431,25
2002;Scheffau am Wilden Kaiser <70524>;1227,875
2002;Schwoich <70525>;2222,375
2002;Söll <70526>;3428,875
2002;Thiersee <70527>;2707
2002;Angerberg <70528>;1680,875
2002;Walchsee <70529>;1759,75
2002;Wildschönau <70530>;4131,875
2002;Wörgl <70531>;11074,375
2002;Faggen <70601>;271,5
2002;Fendels <70602>;256,875
2002;Fiss <70603>;918,375
2002;Fließ <70604>;2932,75
2002;Flirsch <70605>;936,375
2002;Galtür <70606>;823,5
2002;Grins <70607>;1297,625
2002;Ischgl <70608>;1705,125
2002;Kappl <70609>;2605,375
2002;Kaunerberg <70610>;350
2002;Kaunertal <70611>;596,625
2002;Kauns <70612>;450,625
2002;Ladis <70613>;539,625
2002;Landeck <70614>;7358,125
2002;Nauders <70615>;1611,25
2002;Pettneu am Arlberg <70616>;1478,75
2002;Pfunds <70617>;2508,25
2002;Pians <70618>;813
2002;Prutz <70619>;1702,625
2002;Ried im Oberinntal <70620>;1238,125
2002;St. Anton am Arlberg <70621>;2683,25
2002;Schönwies <70622>;1670,75
2002;See <70623>;1102,125
2002;Serfaus <70624>;1164
2002;Spiss <70625>;140,875
2002;Stanz bei Landeck <70626>;605
2002;Strengen <70627>;1246,25
2002;Tobadill <70628>;522,875
2002;Tösens <70629>;687,125
2002;Zams <70630>;3375,875
2002;Abfaltersbach <70701>;631,25
2002;Ainet <70702>;1004,75
2002;Amlach <70703>;319,875
2002;Anras <70704>;1329,125
2002;Assling <70705>;2034,375
2002;Außervillgraten <70706>;903,875
2002;Dölsach <70707>;2192,75
2002;Gaimberg <70708>;782,5
