jahr;gemnr;n
2002;Bartholomäberg <80101>;2249,875
2002;Blons <80102>;330
2002;Bludenz <80103>;13839,75
2002;Bludesch <80104>;2140,875
2002;Brand <80105>;740
2002;Bürs <80106>;3049,125
2002;Bürserberg <80107>;518,625
2002;Dalaas <80108>;1559,875
2002;Fontanella <80109>;462,25
2002;Gaschurn <80110>;1652,25
2002;Innerbraz <80111>;967,375
2002;Klösterle <80112>;735,5
2002;Lech <80113>;1530,125
2002;Lorüns <80114>;271,375
2002;Ludesch <80115>;2859,375
2002;Nenzing <80116>;5723,25
2002;Nüziders <80117>;4478,375
2002;Raggal <80118>;871,625
2002;St. Anton im Montafon <80119>;699,625
2002;St. Gallenkirch <80120>;2293,5
2002;St. Gerold <80121>;372,25
2002;Schruns <80122>;3740,25
2002;Silbertal <80123>;861,25
2002;Sonntag <80124>;722,375
2002;Stallehr <80125>;267,5
2002;Thüringen <80126>;2192,625
2002;Thüringerberg <80127>;686,125
2002;Tschagguns <80128>;2326,25
2002;Vandans <80129>;2693,75
2002;Alberschwende <80201>;2992,25
2002;Andelsbuch <80202>;2309,25
2002;Au <80203>;1656,875
2002;Bezau <80204>;1874,25
2002;Bildstein <80205>;718,75
2002;Bizau <80206>;960,125
2002;Bregenz <80207>;26728,375
2002;Buch <80208>;556,5
2002;Damüls <80209>;339,375
2002;Doren <80210>;1011,625
2002;Egg <80211>;3383,625
2002;Eichenberg <80212>;384,375
2002;Fußach <80213>;3509
2002;Gaißau <80214>;1492,25
2002;Hard <80215>;11434,375
2002;Hittisau <80216>;1803,75
2002;Höchst <80217>;7263,375
2002;Hörbranz <80218>;6183,375
2002;Hohenweiler <80219>;1273,5
2002;Kennelbach <80220>;1958,5
2002;Krumbach <80221>;963,5
2002;Langen bei Bregenz <80222>;1333,75
2002;Langenegg <80223>;1025,875
2002;Lauterach <80224>;8766,25
2002;Lingenau <80225>;1338,375
2002;Lochau <80226>;5326,5
2002;Mellau <80227>;1287,375
2002;Mittelberg <80228>;4869,5
2002;Möggers <80229>;561
2002;Reuthe <80230>;592,125
2002;Riefensberg <80231>;989,625
2002;Schnepfau <80232>;491
2002;Schoppernau <80233>;904
2002;Schröcken <80234>;230,375
2002;Schwarzach <80235>;3367,75
2002;Schwarzenberg <80236>;1720,25
2002;Sibratsgfäll <80237>;419,875
2002;Sulzberg <80238>;1707,25
2002;Warth <80239>;190,125
2002;Wolfurt <80240>;7895,125
2002;Dornbirn <80301>;42624,75
2002;Hohenems <80302>;14008,75
2002;Lustenau <80303>;19944,625
2002;Altach <80401>;5810,375
2002;Düns <80402>;383,125
2002;Dünserberg <80403>;141,875
2002;Feldkirch <80404>;28892
2002;Frastanz <80405>;6188,625
2002;Fraxern <80406>;661,5
2002;Göfis <80407>;2875,875
2002;Götzis <80408>;10235,5
2002;Klaus <80409>;2880,875
2002;Koblach <80410>;3842,875
2002;Laterns <80411>;726
2002;Mäder <80412>;3173,875
2002;Meiningen <80413>;1891,25
2002;Rankweil <80414>;11224,875
2002;Röns <80415>;290,625
2002;Röthis <80416>;1978
2002;Satteins <80417>;2477,125
2002;Schlins <80418>;2087,875
2002;Schnifis <80419>;709,875
2002;Sulz <80420>;2170,875
2002;Übersaxen <80421>;588,125
2002;Viktorsberg <80422>;377,125
2002;Weiler <80423>;1745,25
2002;Zwischenwasser <80424>;3049,25
2003;Bartholomäberg <80101>;2233,5
2003;Blons <80102>;319,75
2003;Bludenz <80103>;13906,625
2003;Bludesch <80104>;2187
2003;Brand <80105>;709,375
2003;Bürs <80106>;3002,25
2003;Bürserberg <80107>;527,375
2003;Dalaas <80108>;1547,375
2003;Fontanella <80109>;449,75
2003;Gaschurn <80110>;1667,375
2003;Innerbraz <80111>;962,25
2003;Klösterle <80112>;728,5
2003;Lech <80113>;1603,75
2003;Lorüns <80114>;278,875
2003;Ludesch <80115>;2889,625
2003;Nenzing <80116>;5792,5
2003;Nüziders <80117>;4476,5
2003;Raggal <80118>;873,125
2003;St. Anton im Montafon <80119>;685,875
2003;St. Gallenkirch <80120>;2290,875
2003;St. Gerold <80121>;372
2003;Schruns <80122>;3721,625
2003;Silbertal <80123>;858,5
2003;Sonntag <80124>;714,75
2003;Stallehr <80125>;262
2003;Thüringen <80126>;2227,125
2003;Thüringerberg <80127>;694,375
2003;Tschagguns <80128>;2348
2003;Vandans <80129>;2706,5
2003;Alberschwende <80201>;2998
2003;Andelsbuch <80202>;2279,625
2003;Au <80203>;1682
2003;Bezau <80204>;1870,5
2003;Bildstein <80205>;711,875
2003;Bizau <80206>;973,875
2003;Bregenz <80207>;26652,5
2003;Buch <80208>;567,375
2003;Damüls <80209>;340,25
2003;Doren <80210>;1001
2003;Egg <80211>;3377,5
2003;Eichenberg <80212>;386,25
2003;Fußach <80213>;3554
2003;Gaißau <80214>;1532,875
2003;Hard <80215>;11601,25
2003;Hittisau <80216>;1802,625
2003;Höchst <80217>;7366,5
2003;Hörbranz <80218>;6247,875
2003;Hohenweiler <80219>;1290,375
2003;Kennelbach <80220>;1957,875
2003;Krumbach <80221>;964,75
2003;Langen bei Bregenz <80222>;1331,875
2003;Langenegg <80223>;1026,75
2003;Lauterach <80224>;8873,75
2003;Lingenau <80225>;1344,875
2003;Lochau <80226>;5336,125
2003;Mellau <80227>;1271,125
2003;Mittelberg <80228>;4883,875
2003;Möggers <80229>;545,625
2003;Reuthe <80230>;593,625
2003;Riefensberg <80231>;997,125
2003;Schnepfau <80232>;487,375
2003;Schoppernau <80233>;902,5
2003;Schröcken <80234>;228,25
2003;Schwarzach <80235>;3391,875
2003;Schwarzenberg <80236>;1746,125
2003;Sibratsgfäll <80237>;419,25
2003;Sulzberg <80238>;1697,5
2003;Warth <80239>;187
2003;Wolfurt <80240>;7895,25
2003;Dornbirn <80301>;42909,875
2003;Hohenems <80302>;14106
2003;Lustenau <80303>;20132,125
2003;Altach <80401>;5900,75
2003;Düns <80402>;376,375
2003;Dünserberg <80403>;141,125
2003;Feldkirch <80404>;29123,75
2003;Frastanz <80405>;6225,375
2003;Fraxern <80406>;673,125
2003;Göfis <80407>;2909,75
2003;Götzis <80408>;10243,25
2003;Klaus <80409>;2905,25
2003;Koblach <80410>;3889,5
2003;Laterns <80411>;718,625
2003;Mäder <80412>;3208,125
2003;Meiningen <80413>;1887,375
2003;Rankweil <80414>;11299
2003;Röns <80415>;288,625
2003;Röthis <80416>;1985,875
2003;Satteins <80417>;2509,5
2003;Schlins <80418>;2133,375
2003;Schnifis <80419>;712,625
2003;Sulz <80420>;2163,625
2003;Übersaxen <80421>;600,875
2003;Viktorsberg <80422>;382,125
2003;Weiler <80423>;1758,625
2003;Zwischenwasser <80424>;3083,125
2004;Bartholomäberg <80101>;2226,875
2004;Blons <80102>;326,875
2004;Bludenz <80103>;13968,375
2004;Bludesch <80104>;2204,5
2004;Brand <80105>;691,625
2004;Bürs <80106>;2950,375
2004;Bürserberg <80107>;532,375
2004;Dalaas <80108>;1563,5
2004;Fontanella <80109>;438,875
2004;Gaschurn <80110>;1653,625
2004;Innerbraz <80111>;966,5
2004;Klösterle <80112>;735,125
2004;Lech <80113>;1710,125
2004;Lorüns <80114>;282
2004;Ludesch <80115>;2987,875
2004;Nenzing <80116>;5922,25
2004;Nüziders <80117>;4561,625
2004;Raggal <80118>;874
2004;St. Anton im Montafon <80119>;677
2004;St. Gallenkirch <80120>;2285,5
2004;St. Gerold <80121>;381,75
2004;Schruns <80122>;3712,625
2004;Silbertal <80123>;857,875
2004;Sonntag <80124>;716,25
2004;Stallehr <80125>;261
2004;Thüringen <80126>;2238,125
2004;Thüringerberg <80127>;687,5
2004;Tschagguns <80128>;2357,75
2004;Vandans <80129>;2700,5
2004;Alberschwende <80201>;3010,5
2004;Andelsbuch <80202>;2262,875
2004;Au <80203>;1686,125
2004;Bezau <80204>;1899,75
2004;Bildstein <80205>;699
2004;Bizau <80206>;986,75
2004;Bregenz <80207>;26821,875
2004;Buch <80208>;561,75
2004;Damüls <80209>;333,875
2004;Doren <80210>;997
2004;Egg <80211>;3378,125
2004;Eichenberg <80212>;381,25
2004;Fußach <80213>;3560,5
2004;Gaißau <80214>;1561
2004;Hard <80215>;11788
2004;Hittisau <80216>;1832,25
2004;Höchst <80217>;7470,125
2004;Hörbranz <80218>;6269,75
2004;Hohenweiler <80219>;1285,875
2004;Kennelbach <80220>;1969,375
2004;Krumbach <80221>;974,5
2004;Langen bei Bregenz <80222>;1327,375
2004;Langenegg <80223>;1049,875
2004;Lauterach <80224>;8963,375
2004;Lingenau <80225>;1350,625
2004;Lochau <80226>;5313,25
