jahr;gemnr;n
2002;Wien 1.,Innere Stadt <90101>;17600,125
2002;Wien 2.,Leopoldstadt <90201>;89508
2002;Wien 3.,Landstraße <90301>;82298,75
2002;Wien 4.,Wieden <90401>;29220,125
2002;Wien 5.,Margareten <90501>;50177
2002;Wien 6.,Mariahilf <90601>;28722,75
2002;Wien 7.,Neubau <90701>;28954,5
2002;Wien 8.,Josefstadt <90801>;22697,625
2002;Wien 9.,Alsergrund <90901>;38215
2002;Wien 10.,Favoriten <91001>;154698,125
2002;Wien 11.,Simmering <91101>;79820,25
2002;Wien 12.,Meidling <91201>;79670,875
2002;Wien 13.,Hietzing <91301>;50521
2002;Wien 14.,Penzing <91401>;79616,875
2002;Wien 15.,Rudolfsheim-Fünfhaus <91501>;67788,5
2002;Wien 16.,Ottakring <91601>;88713,625
2002;Wien 17.,Hernals <91701>;49119,125
2002;Wien 18.,Währing <91801>;45753,875
2002;Wien 19.,Döbling <91901>;65795,25
2002;Wien 20.,Brigittenau <92001>;77709,375
2002;Wien 21.,Floridsdorf <92101>;130789,5
2002;Wien 22.,Donaustadt <92201>;139267,75
2002;Wien 23.,Liesing <92301>;86185,875
2003;Wien 1.,Innere Stadt <90101>;17439,625
2003;Wien 2.,Leopoldstadt <90201>;90338,875
2003;Wien 3.,Landstraße <90301>;82477,5
2003;Wien 4.,Wieden <90401>;29361,75
2003;Wien 5.,Margareten <90501>;50685,875
2003;Wien 6.,Mariahilf <90601>;28809,5
2003;Wien 7.,Neubau <90701>;28998,75
2003;Wien 8.,Josefstadt <90801>;23277,375
2003;Wien 9.,Alsergrund <90901>;38529,375
2003;Wien 10.,Favoriten <91001>;157596,75
2003;Wien 11.,Simmering <91101>;81050,5
2003;Wien 12.,Meidling <91201>;81170,5
2003;Wien 13.,Hietzing <91301>;50850,625
2003;Wien 14.,Penzing <91401>;80222,75
2003;Wien 15.,Rudolfsheim-Fünfhaus <91501>;68256
2003;Wien 16.,Ottakring <91601>;89424,375
2003;Wien 17.,Hernals <91701>;49776,5
2003;Wien 18.,Währing <91801>;46104,375
2003;Wien 19.,Döbling <91901>;66216
2003;Wien 20.,Brigittenau <92001>;79153,375
2003;Wien 21.,Floridsdorf <92101>;132918,125
2003;Wien 22.,Donaustadt <92201>;141434,75
2003;Wien 23.,Liesing <92301>;86790,75
2004;Wien 1.,Innere Stadt <90101>;17286,75
2004;Wien 2.,Leopoldstadt <90201>;91058,875
2004;Wien 3.,Landstraße <90301>;83477
2004;Wien 4.,Wieden <90401>;29459,125
2004;Wien 5.,Margareten <90501>;51387,75
2004;Wien 6.,Mariahilf <90601>;28927,875
2004;Wien 7.,Neubau <90701>;28950,375
2004;Wien 8.,Josefstadt <90801>;23419,625
2004;Wien 9.,Alsergrund <90901>;39202,875
2004;Wien 10.,Favoriten <91001>;161194
2004;Wien 11.,Simmering <91101>;81844,5
2004;Wien 12.,Meidling <91201>;82643
2004;Wien 13.,Hietzing <91301>;51128
2004;Wien 14.,Penzing <91401>;81042,25
2004;Wien 15.,Rudolfsheim-Fünfhaus <91501>;68915,375
2004;Wien 16.,Ottakring <91601>;90741,875
2004;Wien 17.,Hernals <91701>;50855,5
2004;Wien 18.,Währing <91801>;46535,25
2004;Wien 19.,Döbling <91901>;66608,375
2004;Wien 20.,Brigittenau <92001>;80174,125
2004;Wien 21.,Floridsdorf <92101>;134329,125
2004;Wien 22.,Donaustadt <92201>;143783
2004;Wien 23.,Liesing <92301>;87301,25
2005;Wien 1.,Innere Stadt <90101>;17256,125
2005;Wien 2.,Leopoldstadt <90201>;91613
2005;Wien 3.,Landstraße <90301>;84024,375
2005;Wien 4.,Wieden <90401>;29805,875
2005;Wien 5.,Margareten <90501>;52255
2005;Wien 6.,Mariahilf <90601>;29203,125
2005;Wien 7.,Neubau <90701>;29637,875
2005;Wien 8.,Josefstadt <90801>;23491,875
2005;Wien 9.,Alsergrund <90901>;39324,75
2005;Wien 10.,Favoriten <91001>;165456,125
2005;Wien 11.,Simmering <91101>;82636,875
2005;Wien 12.,Meidling <91201>;83889,5
2005;Wien 13.,Hietzing <91301>;51251,25
2005;Wien 14.,Penzing <91401>;82194,25
2005;Wien 15.,Rudolfsheim-Fünfhaus <91501>;70010
2005;Wien 16.,Ottakring <91601>;92989,5
2005;Wien 17.,Hernals <91701>;51839,75
