Gemeindekennziffer alt;Gemeinde alt;Gemeindekennziffer neu;Gemeinde neu;in Kraft seit;Änderungsgrund
32401;Ebergassing;30729;Ebergassing;01.01.2017;Bezirkszusammenlegung
32402;Fischamend;30730;Fischamend;01.01.2017;Bezirkszusammenlegung
32403;Gablitz;31949;Gablitz;01.01.2017;Bezirkszusammenlegung
32404;Gerasdorf bei Wien;31235;Gerasdorf bei Wien;01.01.2017;Bezirkszusammenlegung
32405;Gramatneusiedl;30731;Gramatneusiedl;01.01.2017;Bezirkszusammenlegung
32406;Himberg;30732;Himberg;01.01.2017;Bezirkszusammenlegung
32407;Klein-Neusiedl;30733;Klein-Neusiedl;01.01.2017;Bezirkszusammenlegung
32408;Klosterneuburg;32144;Klosterneuburg;01.01.2017;Bezirkszusammenlegung
32409;Lanzendorf;30734;Lanzendorf;01.01.2017;Bezirkszusammenlegung
32410;Leopoldsdorf;30735;Leopoldsdorf;01.01.2017;Bezirkszusammenlegung
32411;Maria-Lanzendorf;30736;Maria-Lanzendorf;01.01.2017;Bezirkszusammenlegung
32412;Mauerbach;31950;Mauerbach;01.01.2017;Bezirkszusammenlegung
32413;Moosbrunn;30737;Moosbrunn;01.01.2017;Bezirkszusammenlegung
32415;Pressbaum;31951;Pressbaum;01.01.2017;Bezirkszusammenlegung
32416;Purkersdorf;31952;Purkersdorf;01.01.2017;Bezirkszusammenlegung
32417;Rauchenwarth;30738;Rauchenwarth;01.01.2017;Bezirkszusammenlegung
32418;Schwadorf;30739;Schwadorf;01.01.2017;Bezirkszusammenlegung
32419;Schwechat;30740;Schwechat;01.01.2017;Bezirkszusammenlegung
32421;Tullnerbach;31953;Tullnerbach;01.01.2017;Bezirkszusammenlegung
32423;Wolfsgraben;31954;Wolfsgraben;01.01.2017;Bezirkszusammenlegung
32424;Zwölfaxing;30741;Zwölfaxing;01.01.2017;Bezirkszusammenlegung
40803;Bruck-Waasen;40835;Peuerbach;01.01.2018;Zusammenlegung
40819;Peuerbach;40835;Peuerbach;01.01.2018;Zusammenlegung
41301;Afiesl;41346;St. Stefan-Afiesl;01.01.2019;Zusammenlegung
41302;Ahorn;41345;Helfenberg;01.01.2019;Zusammenlegung
41303;Aigen im Mühlkreis;41343;Aigen-Schlägl;01.05.2015;Zusammenlegung
41308;Berg bei Rohrbach;41344;Rohrbach-Berg;01.05.2015;Zusammenlegung
41310;Helfenberg;41345;Helfenberg;01.01.2019;Zusammenlegung
41330;Rohrbach in Oberösterreich;41344;Rohrbach-Berg;01.05.2015;Zusammenlegung
41335;St. Stefan am Walde;41346;St. Stefan-Afiesl;01.01.2019;Zusammenlegung
41339;Schlägl;41343;Aigen-Schlägl;01.05.2015;Zusammenlegung
41340;Schönegg;41628;Vorderweißenbach;01.01.2018;Zusammenlegung
41519;Weyer Land;41522;Weyer;01.01.2007;Zusammenlegung
41520;Weyer Markt;41522;Weyer;01.01.2007;Zusammenlegung
41625;Vorderweißenbach;41628;Vorderweißenbach;01.01.2018;Zusammenlegung
60201;Aflenz Kurort;62101;Aflenz Kurort;01.01.2013;Bezirkszusammenlegung
